
0	25157000	21 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 2 3 1 1 2 4 1 1 2 4 1 5 5 4 1 5 5 4 4 43 5 5 4 6 5 17 4 6 6 16 4 6 42 40 4 45 7 46 6 11 7 10 6 11 7 28 8 11 11 14 8 11 11 18 10 11 11 22 10 11 11 22 10 11 11 22 10 11 11 38 10 11 15 25 10 11 39 25 11 11 23 25 14 23 23 34 14 23 23 27 14 29 23 27 22 26 26 30 25 26 26 12 25 26 26 19 25 26 26 13 25 26 26 49 25 26 26 36 25 26 20 35 25 31 31 44 32 24 31 44 32 41 33 48 36 33 33 47 36 37 33     137000          0          0      32500 
99	20955800	15 21 2 2 0 35 1 2 1 1 2 5 49 1 46 5 3 2 1 5 38 4 1 5 41 46 1 5 48 4 5 5 6 4 5 5 6 48 5 5 10 6 6 5 9 8 6 5 14 8 39 5 10 10 43 5 22 10 18 5 19 10 11 11 25 10 11 5 25 10 11 11 25 10 11 39 22 10 11 7 25 22 11 11 25 22 14 11 25 14 14 9 27 14 24 11 35 22 20 23 29 25 23 11 32 25 26 23 32 25 23 23 33 30 40 23 42 30 43 13 45 30 31 24 36 30 26 24 36 32 49 26 16 32 12 26 44 32 31 26 44 32 34 26 37 36 31 28 17 36 31 28 47 36 29 28 47 44 34 34     243000     135000     225000     126000 
594	19691800	15 16 1 13 0 46 20 21 31 0 1 31 1 46 46 25 48 1 9 2 49 3 1 2 35 4 49 3 27 38 28 5 20 4 5 5 43 48 18 18 28 6 5 6 5 8 6 7 10 8 39 7 10 10 43 5 22 6 7 17 19 10 24 7 10 10 7 5 10 10 11 11 40 10 11 11 43 10 12 12 25 10 11 14 10 14 12 11 25 22 14 11 25 22 11 11 42 22 20 39 42 16 22 11 32 25 15 23 32 22 23 23 41 30 40 26 42 25 26 26 45 25 31 26 36 30 28 23 36 30 33 26 44 33 12 16 46 30 26 30 47 32 30 39 38 37 17 18 36 32 33 33 29 36 29 28 47 36 37 34     265500      72000     153000     207000 
693	10293960	41 31 1 24 8 1 1 2 3 1 2 0 49 1 1 5 9 1 2 5 38 1 1 11 27 46 1 26 39 4 49 2 6 45 37 5 4 4 5 6 10 6 6 5 9 8 6 5 14 16 39 5 28 41 43 5 35 6 18 7 19 4 5 12 10 10 12 7 9 10 11 11 25 10 11 7 22 10 12 11 42 10 11 12 25 22 14 11 25 29 21 9 42 22 17 23 15 10 20 48 25 25 23 11 25 25 23 23 48 22 23 24 38 25 23 23 42 22 23 13 39 25 26 26 13 30 26 24 13 30 49 26 16 32 26 26 40 25 33 32 44 30 31 31 47 36 33 18 45 36 34 34 30 36 43 37 47 36 37 37     265000     243000     135000      72500 
2970	9713400	13 35 42 32 29 24 35 43 38 36 9 2 9 1 48 45 45 2 27 9 38 20 2 0 34 39 1 13 20 4 22 2 43 37 48 42 40 16 34 2 28 4 5 5 5 4 20 49 6 21 43 46 28 41 44 5 29 6 40 6 8 6 5 12 10 10 6 8 3 10 11 40 49 10 11 7 16 11 2 21 42 21 11 12 18 10 14 15 41 14 11 43 27 10 11 23 42 10 17 39 25 12 21 39 32 22 14 23 44 43 23 46 25 25 40 26 42 30 43 26 45 35 26 26 31 30 46 26 24 12 49 28 49 30 17 26 48 32 26 31 36 30 30 19 47 37 24 19 38 36 33 33 47 36 34 33 47 44 17 37     161700      63300      87900     135000 
3267	9309800	39 39 2 2 43 24 31 42 33 36 9 2 41 8 48 34 14 3 7 2 38 20 1 5 0 12 1 4 45 4 22 4 34 12 19 48 11 31 14 17 28 4 15 21 5 4 20 5 40 4 43 46 28 16 38 5 35 6 49 7 48 6 7 11 10 10 21 15 3 10 11 11 49 10 11 11 16 10 23 44 42 10 11 12 18 22 14 12 42 14 12 9 27 10 18 23 42 22 17 37 25 22 19 24 41 40 23 23 32 30 23 46 25 30 23 23 42 30 27 26 45 35 48 19 16 30 46 24 13 12 49 27 20 30 26 26 44 32 30 31 36 32 24 26 47 37 24 34 44 36 33 33 47 47 29 33 47 44 37 34     130500      94500     180000      31500 
3663	8721050	39 35 35 32 21 24 38 43 13 36 12 38 9 0 48 45 45 2 18 2 38 1 2 3 34 39 1 13 45 41 22 4 42 4 38 16 5 16 29 2 45 6 7 21 4 4 20 9 6 21 43 16 28 41 44 7 29 6 18 6 8 10 5 12 10 10 38 7 3 10 11 40 49 10 11 11 16 10 23 21 42 21 11 12 18 10 14 15 41 14 11 43 27 10 48 23 48 10 20 39 25 8 21 27 32 22 41 23 44 9 23 46 41 25 40 0 43 30 27 26 45 35 48 26 31 30 46 28 24 12 49 28 49 30 17 31 48 32 48 31 36 32 30 27 47 39 24 19 17 36 33 33 47 36 34 33 47 44 37 37     127125      48375     110250     135000 
3861	8551800	39 35 35 41 0 24 38 43 33 36 45 4 9 0 48 7 45 2 18 2 38 13 2 5 34 39 1 13 45 18 22 49 42 4 19 16 29 29 14 5 28 6 15 21 4 4 20 9 6 4 43 16 8 41 44 7 29 6 40 6 8 6 7 12 10 10 38 27 3 10 11 40 49 10 11 7 16 10 18 21 42 21 11 11 18 22 14 12 42 14 11 9 27 10 48 11 48 10 17 39 25 8 21 27 32 22 41 23 44 9 23 46 41 25 40 0 43 25 27 26 39 25 48 19 16 30 46 28 24 12 49 28 49 30 17 31 44 32 26 31 36 32 32 19 47 39 24 19 17 36 33 33 47 47 34 37 47 44 37 37      81000      94500     148500      94500 
4059	8151800	39 39 35 2 0 10 38 43 33 36 34 4 36 41 48 5 45 1 15 2 38 20 40 5 34 11 1 13 45 18 22 49 42 17 19 16 29 29 14 5 28 6 15 21 4 4 20 9 6 4 43 46 8 27 44 7 35 6 40 6 8 6 7 12 10 10 38 27 3 10 11 40 49 38 11 7 16 10 18 21 42 11 11 11 18 22 14 15 42 14 11 9 27 10 48 11 48 10 17 37 25 22 34 18 32 22 41 23 44 9 23 46 41 25 40 0 29 25 27 26 39 25 48 19 16 30 46 28 13 12 49 28 49 30 17 31 44 32 26 31 12 32 30 19 47 36 24 41 17 36 49 33 47 47 29 33 47 44 37 37     121500      40500     153000      94500 
4554	6299800	39 35 20 42 0 24 38 43 7 17 9 49 36 1 48 5 38 21 15 37 13 1 1 0 34 20 19 13 45 18 35 49 39 17 34 8 40 29 14 5 45 6 28 21 4 4 16 9 40 4 39 46 28 16 44 7 39 6 45 5 7 6 39 12 10 10 38 8 3 10 36 2 49 45 11 11 16 10 23 11 42 10 11 12 18 22 14 15 42 14 11 9 27 10 48 23 48 10 17 37 25 22 21 39 32 40 41 23 32 9 23 46 41 25 40 0 43 30 27 26 39 35 29 26 16 41 46 24 13 12 49 27 49 30 17 31 48 32 30 31 12 30 30 19 47 36 24 41 44 36 49 33 47 47 29 33 47 44 37 34     120600      75600      59400     104400 
5247	6253600	39 35 20 42 20 24 38 43 7 17 9 49 36 1 48 5 38 21 15 37 13 1 1 0 34 20 19 13 45 18 35 49 39 17 34 8 40 29 14 5 45 6 28 21 4 4 16 9 40 4 39 46 28 16 44 7 39 6 45 5 7 6 39 12 10 10 38 8 3 10 36 2 49 45 11 11 16 10 23 11 42 10 11 12 18 22 14 15 42 14 11 9 27 10 48 23 48 10 17 37 25 22 21 39 32 40 41 23 32 9 23 46 41 25 40 0 43 30 27 26 39 35 29 26 16 41 46 24 13 12 49 27 49 30 17 31 48 32 30 31 12 30 30 19 47 36 24 41 44 36 49 33 47 47 29 33 47 44 37 34     121500      75600      58500     103500 
6831	6032600	29 35 20 42 48 37 38 43 39 36 24 49 15 43 28 5 45 47 38 46 13 6 40 34 34 38 19 44 45 13 35 4 38 2 34 8 27 9 14 4 45 19 15 21 43 4 6 9 4 4 1 16 8 16 44 7 39 6 35 5 7 6 5 12 10 10 6 8 3 10 36 40 49 38 11 7 16 11 18 11 42 10 11 12 10 22 14 15 42 14 11 9 27 10 2 15 48 10 17 37 25 22 21 39 32 32 41 23 32 25 23 46 41 25 40 0 43 25 27 26 39 35 29 19 31 30 46 24 38 12 49 27 49 30 26 31 48 32 48 31 12 30 30 19 47 36 24 28 38 36 49 33 47 47 33 33 47 44 37 34      86400      75600     138600      52200 
7029	5993800	39 45 22 26 20 44 24 43 7 17 16 49 2 41 48 45 38 21 15 37 13 15 1 13 19 20 6 13 45 18 35 49 15 21 34 8 3 29 8 5 45 6 28 31 43 4 16 9 6 4 43 46 28 27 44 5 39 6 35 5 7 6 39 12 21 10 6 8 3 10 36 40 49 38 34 11 43 11 23 11 42 10 11 12 18 22 14 20 42 14 11 9 27 10 2 15 48 22 17 29 25 22 18 18 32 40 41 23 32 25 23 46 41 25 40 0 43 30 27 13 39 35 29 26 16 41 46 24 38 12 49 27 49 30 17 31 48 32 26 31 12 30 38 19 47 36 24 34 44 36 33 33 47 47 29 33 47 44 37 37     117250      63000     103000      70000 
7326	5861600	26 45 20 42 48 44 29 36 39 7 24 49 28 1 2 45 38 9 38 37 13 33 29 34 43 22 19 44 45 18 35 13 39 31 34 34 40 0 14 35 45 6 15 21 43 4 16 42 35 4 1 46 28 16 44 26 35 6 45 6 35 6 5 12 10 10 6 8 3 10 36 40 49 38 1 7 43 10 23 3 42 10 11 12 18 22 14 15 42 14 11 9 42 10 48 23 48 10 17 37 25 22 21 18 32 32 41 23 32 25 23 46 41 25 40 23 43 25 27 13 39 35 26 19 16 8 46 24 38 12 49 27 49 30 26 31 48 32 30 31 44 30 38 19 47 36 24 28 38 36 33 33 47 47 29 33 47 44 37 37      95700      50400     135000      69300 
7425	4714800	14 40 22 42 20 24 38 33 7 17 2 49 36 41 48 45 1 21 15 37 13 1 1 13 19 38 19 35 45 2 35 34 3 31 34 8 13 16 17 35 45 4 28 21 4 4 16 9 6 4 39 46 28 16 44 5 39 6 40 34 7 6 5 12 46 10 6 8 3 10 36 40 49 38 34 7 43 11 23 3 42 10 11 29 18 10 14 15 42 14 11 9 27 10 48 23 48 10 17 37 25 22 18 39 32 22 41 23 32 25 23 46 41 25 40 0 43 30 26 26 39 25 29 19 16 41 46 24 38 12 49 27 49 30 17 31 48 32 26 31 12 30 30 19 47 36 24 28 44 36 33 33 47 47 29 33 47 44 37 37     135000      51750      51750      83250 
8118	4642800	21 35 20 42 20 43 1 35 2 8 47 49 28 41 48 5 45 8 38 37 13 1 29 0 19 38 40 44 45 0 22 29 44 17 34 48 3 29 14 5 45 4 15 21 43 4 16 9 4 4 43 46 28 16 44 26 39 6 45 6 7 6 26 12 10 10 38 8 3 10 36 40 49 38 34 7 43 11 23 11 42 10 11 12 18 10 14 15 42 14 12 9 42 10 48 15 48 10 17 37 25 22 18 39 32 32 41 23 32 25 23 46 41 25 40 0 43 25 27 13 39 35 29 26 16 41 46 24 38 12 49 27 49 30 26 31 48 32 30 31 12 30 38 19 47 36 24 28 44 36 49 33 47 47 29 33 47 44 37 34      62100      73800      77400     103500 
8910	4466800	7 19 39 48 20 1 2 5 47 31 12 2 5 13 47 45 45 14 15 37 40 33 1 0 45 38 19 13 45 18 22 4 13 17 34 28 40 9 49 35 28 19 28 36 43 4 16 42 35 4 39 46 28 16 44 26 35 6 45 6 7 6 5 2 10 10 38 8 3 10 36 40 49 38 34 7 43 11 2 21 42 21 11 29 18 22 14 20 42 14 11 9 42 10 48 15 48 10 17 37 25 22 21 18 32 32 41 23 32 9 23 46 41 25 40 0 43 30 27 26 39 35 29 25 16 41 46 24 38 12 49 27 49 30 17 31 48 32 30 31 44 30 30 19 47 36 24 44 38 36 33 33 47 47 29 33 47 44 37 37      83500      26500     115000      94500 
9504	3928800	21 27 20 40 20 44 38 35 16 18 47 49 28 41 31 2 6 45 20 37 36 1 1 25 19 7 24 46 45 13 22 22 31 17 34 48 13 40 23 3 45 4 4 21 43 13 16 9 35 4 1 46 28 23 44 26 39 6 45 34 35 6 39 12 46 10 38 8 3 10 36 40 49 38 34 7 16 11 2 3 42 21 11 12 18 10 14 15 42 14 11 9 27 10 48 15 48 10 17 14 25 22 21 39 5 32 41 29 32 25 23 46 41 25 40 0 43 30 27 26 39 35 29 26 41 30 46 24 38 12 49 27 49 30 17 31 48 32 30 31 12 32 30 19 47 36 24 28 44 36 33 33 47 47 29 33 47 44 37 37     112500      33000      60000      94500 
10098	3230800	34 35 20 42 20 44 16 43 2 47 47 49 34 41 31 46 45 45 29 37 3 32 1 49 10 38 41 13 21 13 49 22 13 17 34 48 13 0 23 35 45 19 28 21 40 4 16 9 37 4 43 46 28 2 44 7 5 6 45 42 35 6 39 12 10 10 38 8 3 10 36 40 49 38 34 7 16 11 23 21 42 10 11 12 18 22 14 15 42 14 11 9 27 10 48 15 48 10 17 37 25 22 18 39 32 32 41 23 32 25 36 46 41 25 40 0 43 30 27 26 39 35 29 26 16 8 46 24 38 12 49 27 49 48 26 31 48 32 30 31 12 30 30 19 47 36 24 28 44 36 33 33 47 47 29 33 47 44 37 19      81000      49500      85500      67500 
12276	3110300	12 40 20 42 20 8 18 43 2 49 47 39 34 13 48 14 45 21 31 37 2 1 19 5 10 38 19 43 21 13 49 22 13 17 34 1 13 0 49 41 45 19 28 36 40 4 16 9 35 4 43 46 28 2 44 26 35 6 45 34 35 6 39 12 10 10 38 8 3 10 36 40 49 38 46 7 16 11 23 21 42 10 11 12 18 22 14 15 42 45 11 9 27 25 48 15 48 10 17 37 25 22 18 39 32 40 41 23 32 25 23 46 41 25 17 0 43 30 27 26 39 35 29 29 16 41 46 24 38 12 49 27 49 48 26 31 48 32 30 31 44 30 30 19 47 36 24 28 44 36 33 33 47 47 29 33 47 44 37 19      83250      45000      63000      90000 
16335	3002600	12 6 20 42 20 35 18 43 35 43 20 39 34 13 46 14 45 33 2 37 39 1 19 49 20 42 19 41 21 13 49 22 13 17 34 48 13 41 49 47 45 19 28 36 40 4 16 9 37 4 43 46 28 2 44 26 5 6 45 42 35 6 17 12 46 10 38 8 3 10 36 40 49 38 34 7 16 11 23 21 38 10 11 12 18 22 14 15 42 45 11 9 27 25 48 15 48 10 17 37 25 22 18 39 32 32 41 23 32 25 23 46 41 25 40 0 43 30 27 26 39 35 29 29 16 41 40 24 38 12 49 27 49 48 34 31 48 32 30 31 44 30 30 19 47 36 24 28 44 36 33 33 47 47 29 33 47 44 37 19      81000      47700      53000     100000 
16929	2960800	1 48 20 25 8 37 18 43 22 49 47 39 34 13 30 14 45 49 31 37 32 1 19 5 20 38 19 17 21 39 49 22 7 17 34 1 13 41 49 32 45 19 28 36 40 4 48 9 35 4 43 46 28 2 44 26 35 6 45 42 35 6 39 12 10 27 38 8 3 10 36 40 49 38 46 7 16 11 23 21 42 21 11 12 18 22 14 15 42 14 11 9 27 25 48 15 48 10 17 37 25 22 18 39 32 40 41 23 32 25 23 46 41 25 40 0 43 24 27 26 39 35 29 29 16 41 46 24 38 12 49 34 49 48 26 31 48 32 30 31 44 30 30 19 47 36 24 28 44 36 33 33 47 47 29 33 47 44 37 46      94750      49500      53500      81000 
17325	2938800	34 6 20 42 20 34 28 43 35 24 20 39 5 2 48 14 45 33 41 37 2 1 19 49 20 42 1 41 21 13 49 22 13 17 34 48 13 17 49 44 45 19 1 36 40 4 1 9 37 4 43 46 28 2 44 26 5 6 45 42 35 6 39 12 46 10 38 8 3 10 36 40 49 38 46 7 16 11 23 21 42 21 11 18 18 22 14 15 42 14 11 14 27 25 48 15 48 10 17 37 25 22 18 39 32 40 41 23 32 25 23 47 41 25 40 0 43 30 27 26 39 35 29 29 16 41 46 24 38 12 49 27 49 38 34 31 48 32 30 31 44 30 30 45 47 36 24 28 44 36 33 33 47 47 29 33 47 44 37 19      78750      49500      47250      99000 
20394	2702800	34 6 5 42 20 35 25 43 43 24 20 39 34 2 48 14 45 24 8 37 38 32 14 49 10 42 19 35 21 13 49 22 13 17 34 45 13 40 49 5 45 19 28 36 40 4 48 9 37 4 43 46 28 2 44 26 5 6 45 42 35 6 31 12 10 10 38 8 3 10 36 40 49 38 46 7 16 11 23 21 38 21 11 41 18 22 14 15 42 14 11 9 27 1 48 15 48 10 17 37 25 22 18 39 32 40 41 23 32 25 46 47 41 25 17 0 43 30 27 26 39 35 29 29 16 41 46 24 38 12 49 27 49 48 34 31 48 32 30 31 44 30 30 19 47 36 24 28 44 36 33 33 47 47 29 33 47 44 44 19      72000      47700      63000      90000 
21681	2333800	34 40 47 42 20 40 37 43 14 43 38 39 26 2 48 29 45 48 14 23 38 20 18 49 20 42 1 30 21 13 5 22 13 17 34 45 13 48 49 47 45 19 28 36 40 4 1 9 37 4 43 46 28 2 44 27 5 6 45 34 35 6 32 12 10 10 38 8 3 10 36 40 49 38 46 7 16 11 5 21 42 21 11 41 18 22 14 15 42 14 11 9 27 25 48 15 48 10 17 37 25 22 49 39 32 40 41 23 32 25 23 46 41 25 17 0 43 24 27 26 39 35 29 43 16 41 46 24 38 12 49 35 49 48 26 31 48 32 30 31 44 30 30 18 47 36 24 28 44 36 33 33 47 47 29 33 47 44 37 19      74250      45000      45000      94500 
26928	1978800	34 40 47 42 20 35 37 44 32 43 38 39 26 46 34 29 45 48 14 23 38 20 17 49 20 42 34 16 21 11 30 22 13 22 48 45 13 48 49 47 45 19 28 36 40 4 1 9 37 4 43 46 28 2 44 27 5 6 45 34 35 6 32 12 10 10 38 8 3 10 36 40 49 38 46 7 16 11 5 21 42 21 11 41 18 22 14 15 42 14 11 9 27 25 48 15 48 10 17 37 25 22 49 39 32 40 41 23 32 25 23 46 41 25 17 0 43 24 27 26 39 35 29 43 16 41 46 24 38 12 49 35 49 48 26 31 48 32 30 31 44 30 30 18 47 36 24 28 13 36 33 33 47 47 29 33 47 44 37 19      54750      49500      53500      94500 
29700	1958800	34 40 47 42 20 35 37 44 32 43 38 39 26 46 34 29 45 48 14 23 38 20 17 49 20 42 34 16 21 11 30 22 13 48 48 45 13 48 49 47 45 19 28 36 40 4 1 9 37 4 43 46 28 2 44 27 5 6 45 34 35 6 32 12 10 10 38 8 3 10 36 40 49 38 46 7 16 11 5 21 42 21 11 41 18 22 14 15 42 14 11 9 27 25 48 15 48 10 17 37 25 22 49 39 32 40 41 23 32 25 23 46 41 25 17 0 43 24 27 26 39 35 29 43 16 41 46 24 38 12 49 35 49 48 26 31 48 32 30 31 44 30 30 18 47 36 24 28 13 36 33 33 47 47 29 33 47 44 37 19      54750      49500      53500      94500 
35640	1865300	34 40 47 48 20 35 37 44 2 43 38 39 26 46 34 29 45 13 42 23 38 20 30 49 20 42 34 10 21 16 14 22 13 48 11 45 13 48 49 47 45 19 28 36 40 4 1 9 37 4 43 46 28 2 44 27 5 6 45 34 35 6 32 12 49 10 38 8 3 36 36 40 49 38 46 7 16 11 5 21 42 21 11 41 18 22 14 15 42 14 42 9 27 25 48 15 48 10 17 37 25 22 49 39 32 40 41 23 32 25 23 25 41 25 17 0 43 24 27 26 39 35 29 43 16 41 46 24 38 12 49 35 49 17 26 31 48 32 30 31 44 30 30 18 47 36 24 28 13 44 33 33 47 47 29 33 47 44 37 19      54000      45000      51750      94500 
