
0	24042000	0 6 26 11 1 1 32 1 1 31 22 1 9 1 1 33 1 5 17 1 5 18 1 5 4 48 21 1 2 37 32 4 6 33 4 36 5 4 6 6 5 6 42 6 19 49 9 40 29 9 38 10 10 11 16 10 11 14 10 10 13 10 11 36 10 11 22 10 11 36 11 11 22 14 11 27 14 39 26 22 43 26 25 23 25 25 26 25 25 26 30 25 26 20 41 26 46 32 26 12 32 26 35 32 26 28 33 33 44 36 24 44 36 34 45 36 36 47 36 36     137000          0          0 
99	21562800	17 6 19 0 6 29 0 0 1 18 0 1 39 1 16 2 0 35 4 0 1 4 15 5 20 24 5 8 4 5 49 3 5 10 4 5 10 4 8 10 6 6 10 4 48 42 5 10 7 6 12 22 10 7 14 28 11 22 9 11 22 10 11 25 14 12 25 22 13 48 22 15 25 10 23 36 22 23 25 22 23 41 25 25 36 27 25 32 25 31 46 27 26 36 25 27 36 27 43 36 25 33 49 36 34 21 30 30 44 36 6 40 36 38 45 36 37 47 36 34     337500     180000     225000 
198	19876800	16 24 13 19 1 1 20 1 1 0 1 3 45 42 16 2 1 42 4 4 7 18 4 1 4 24 1 43 4 6 4 4 40 4 41 41 4 4 21 10 5 15 29 4 42 10 9 27 43 9 38 5 10 8 47 10 11 10 11 11 13 10 24 10 10 11 24 10 12 36 10 11 31 25 15 34 22 17 48 22 8 25 30 23 25 25 23 48 25 35 32 25 14 16 25 28 32 30 39 12 32 32 49 32 26 17 36 46 44 36 13 36 36 33 37 36 37 47 36 36     364500      94500     243000 
297	19539800	41 16 31 24 1 1 40 0 1 13 1 1 1 1 46 48 6 5 3 1 15 18 4 2 4 4 12 4 4 35 49 20 42 45 21 5 5 6 8 26 14 29 10 42 5 10 13 11 48 10 5 10 10 8 35 10 7 39 37 11 35 10 23 46 10 43 22 25 38 25 22 24 13 22 28 48 22 23 25 25 20 23 22 23 27 41 47 7 16 23 32 27 26 33 46 32 36 9 48 33 30 33 36 25 32 44 28 33 44 33 46 20 33 17 19 36 49 47 36 34     243000     225000     225000 
396	18837800	28 19 1 12 1 1 0 0 1 41 1 1 0 43 46 48 1 5 38 1 35 1 7 5 9 4 3 4 4 5 49 19 36 6 4 16 20 6 40 4 37 19 10 6 6 18 13 48 10 8 5 10 10 10 35 10 2 15 22 21 42 10 8 46 10 11 11 14 20 49 10 23 27 22 23 27 10 23 17 25 20 25 14 23 29 41 47 19 16 26 35 27 26 36 46 26 36 39 31 45 25 26 36 45 18 44 30 32 44 33 42 20 36 24 19 36 33 47 36 34     225000     225000     225000 
495	15836800	39 28 1 0 3 1 0 1 1 7 1 1 29 4 40 48 1 5 2 4 15 29 4 1 24 1 5 4 42 4 49 37 47 5 4 5 42 18 8 26 10 29 10 6 24 17 13 27 48 10 5 10 8 8 34 9 7 20 8 8 22 14 12 46 48 35 23 25 38 21 10 11 46 14 28 26 22 15 22 25 24 16 22 25 48 8 47 43 46 41 37 19 26 36 46 32 24 30 33 45 30 26 36 13 31 46 28 33 44 33 33 45 33 13 45 36 49 47 36 34     238500     135000     225000 
693	15267800	46 15 1 19 1 1 45 19 1 31 0 1 24 46 40 17 0 25 7 4 35 2 7 7 24 0 5 42 21 43 49 8 48 20 4 12 29 38 8 3 10 16 4 6 5 6 10 8 28 10 41 10 9 11 28 10 49 18 6 11 27 10 49 46 10 11 22 22 23 21 45 12 38 22 25 48 49 23 22 25 26 41 19 23 29 25 47 37 46 8 30 32 41 16 30 26 39 30 29 12 32 31 33 32 31 44 13 34 44 30 33 44 14 7 44 36 36 47 36 37     225000     135000     225000 
792	15217800	39 24 1 2 18 3 30 1 1 0 1 32 29 15 16 0 44 29 27 11 15 28 20 35 30 1 40 43 4 1 49 5 49 42 4 5 42 48 6 10 10 29 49 6 24 18 10 27 48 10 5 46 9 8 34 41 7 18 8 8 22 10 45 40 48 11 23 25 38 21 29 8 13 14 23 26 22 16 25 25 24 16 17 25 25 25 47 43 46 41 37 19 26 12 46 31 3 30 33 45 36 26 36 13 32 46 36 33 45 33 33 44 33 13 47 36 49 47 36 37     225000     135000     225000 
891	14965800	8 19 47 19 18 37 0 1 1 13 18 1 3 0 1 2 1 21 1 0 1 3 42 7 4 4 29 4 21 39 5 9 49 33 22 5 25 18 5 24 14 7 16 6 35 10 16 6 28 40 12 10 19 17 34 41 7 39 41 11 34 14 12 49 10 12 43 35 46 48 13 11 23 14 15 18 38 26 18 22 26 30 41 45 32 42 26 32 14 26 30 27 26 22 32 27 3 30 48 40 47 31 36 32 31 38 30 31 44 32 45 20 36 34 47 36 33 47 44 36     225000     112500     243000 
990	14668800	13 13 2 15 0 1 34 1 31 27 0 1 28 19 1 40 1 1 4 4 1 24 40 3 29 24 5 36 20 40 21 3 9 5 47 5 10 37 8 17 14 18 35 6 41 13 13 39 10 10 41 10 9 2 34 10 11 39 10 35 10 10 23 25 48 15 23 24 13 42 22 11 46 22 25 18 49 15 22 18 26 41 22 45 48 25 26 7 30 13 12 43 49 18 32 23 24 32 26 45 30 31 49 21 26 38 28 24 16 36 33 44 36 13 37 36 33 47 36 37     243000     225000     103500 
1089	13659800	7 41 47 13 9 1 1 1 1 28 1 21 45 0 40 48 1 29 27 47 1 24 39 33 4 1 5 43 2 35 18 9 49 35 33 16 46 38 42 29 16 5 49 39 24 29 17 6 48 3 38 10 9 12 34 41 11 39 8 35 10 10 26 25 48 11 23 19 15 49 10 8 46 14 15 26 22 15 25 22 42 44 22 25 25 25 47 25 20 41 37 43 42 12 46 31 32 39 26 40 30 31 16 32 32 28 36 33 45 36 46 44 33 34 44 36 49 47 44 48     225000     189000     135000 
1485	10293920	7 40 13 6 18 1 1 40 36 9 1 1 0 0 1 40 43 30 6 17 1 27 11 33 24 4 5 4 48 35 18 43 47 35 33 5 15 6 42 30 16 5 45 6 24 29 13 39 21 3 4 10 9 8 34 41 7 8 13 10 39 10 8 25 48 28 23 24 38 48 10 8 46 14 15 26 49 14 41 22 42 2 22 25 25 41 26 32 20 46 38 43 42 12 46 31 18 39 39 40 30 31 33 32 32 28 37 31 45 32 41 19 36 34 47 36 49 47 44 37     180000     281166      83333 
3267	9909800	19 48 19 11 9 16 1 1 1 11 42 1 0 3 45 48 10 23 0 0 13 9 39 33 38 37 40 29 48 35 27 4 47 45 35 2 30 24 8 41 5 47 16 42 7 45 10 31 10 10 29 10 10 8 34 49 38 18 13 10 39 16 34 17 48 12 18 28 17 49 45 11 46 14 15 18 27 14 41 42 31 19 22 25 25 41 26 48 20 13 37 25 6 18 46 31 18 25 35 40 47 31 38 21 43 39 30 26 44 32 46 45 36 34 44 36 49 47 44 37      27000     202500     225000 
4059	9526800	17 29 7 31 2 43 43 1 1 21 9 4 20 41 45 0 49 23 0 0 3 27 39 33 28 4 24 29 48 35 27 44 6 47 43 22 42 35 47 9 5 47 45 13 5 45 10 39 48 33 29 31 10 8 34 41 42 40 18 10 38 16 34 45 48 12 18 3 13 49 45 11 46 14 15 42 39 14 41 25 39 19 31 25 25 41 14 48 20 27 37 25 19 18 46 26 34 12 39 45 32 33 38 40 32 28 30 30 44 33 46 44 36 34 44 36 49 47 44 37     135000     135000     175500 
4554	9506800	21 3 33 22 38 16 7 36 25 20 35 26 0 41 1 0 49 23 0 23 30 4 9 28 29 4 40 49 48 19 27 17 47 5 27 27 42 24 47 9 2 47 16 42 35 45 13 39 48 43 4 24 8 44 38 41 31 24 6 10 39 23 34 45 48 12 18 28 41 33 10 0 46 14 15 42 20 14 11 42 42 19 22 25 25 25 47 48 20 27 37 38 6 29 23 31 18 39 39 40 32 33 11 39 43 28 30 30 16 32 46 45 36 34 44 36 49 47 44 37     135000     135000     175500 
5247	9496800	10 2 5 21 38 49 43 5 17 21 11 22 8 41 15 48 49 23 19 23 40 9 20 42 10 27 35 29 8 3 29 4 47 23 1 8 17 22 47 41 16 47 41 2 5 45 13 24 48 43 29 31 8 39 8 49 38 24 13 35 38 7 34 29 48 11 28 21 17 8 49 0 46 14 15 7 27 14 11 42 42 19 31 25 48 25 47 48 20 13 37 43 6 18 23 26 24 43 32 40 30 12 11 39 32 28 30 33 45 33 46 45 36 34 44 36 49 47 44 37     135000     135000     175500 
5445	9043800	28 7 8 7 38 19 40 31 1 6 49 13 14 9 1 39 49 17 49 0 5 29 40 18 14 11 38 29 48 46 22 26 49 37 34 7 42 24 47 9 35 47 16 6 28 45 11 39 3 19 29 24 4 16 34 3 42 18 8 23 39 10 8 45 48 12 9 28 23 6 45 11 35 14 26 18 27 15 25 41 42 19 22 21 25 25 47 48 20 13 37 43 6 46 2 31 18 43 39 40 32 33 11 32 32 28 24 30 45 33 46 45 36 34 44 36 49 47 44 37      18000     225000     189000 
5940	8771600	6 20 7 7 38 27 28 12 1 24 49 26 15 9 1 15 49 23 30 49 46 13 40 1 18 4 3 5 6 3 20 17 0 48 43 7 26 49 31 9 35 47 16 6 28 7 1 46 48 43 2 23 10 8 34 21 31 19 6 35 39 10 10 45 48 11 9 28 41 49 10 11 43 14 23 18 27 16 12 42 42 19 22 25 25 41 47 32 20 46 37 38 15 29 23 27 18 43 32 40 32 33 38 39 43 28 30 30 45 33 46 45 36 34 44 36 49 47 44 37     180000     151200      94500 
6435	8651800	28 33 15 7 10 3 43 9 34 9 49 31 12 10 1 39 13 17 5 23 17 27 40 1 31 0 26 17 6 46 27 8 1 7 38 16 36 12 31 9 22 47 26 6 35 45 18 35 48 11 29 23 21 13 34 41 42 19 6 35 39 7 34 17 48 11 38 28 41 49 10 0 46 2 15 49 27 14 25 42 42 19 22 21 25 41 47 48 20 4 37 43 15 29 23 31 24 43 32 40 30 33 38 39 43 39 30 30 45 32 46 45 36 34 44 36 49 47 44 37     153000     135000     135000 
