
0	1172500	1 8 0 1 23 0 2 11 2 3 12 2 4 12 2 4 13 2 6 13 2 7 14 3 7 14 3 8 14 6 5 15 15 5 16 9 10 16 11 10 17 11 13 17 12 20 19 14 15 20 16 9 21 16 17 21 17 18 21 19 18 22 19 20 22 21 23 23 21 24 23 21 24 24 22 24 24 23 24 25 24 26 25 24 27 25 24 27 25 24 28 25 25 28 25 25 28 26 26 28 26 26 29 26 26 29 26 27 29 27 27 29 28 27 29 28 27 29 28 28 29 29 29 29 29 29      40500      29250      31500 
297	1165264	20 2 0 6 2 1 6 2 2 8 2 4 0 3 5 9 3 5 9 6 7 10 7 7 10 9 8 1 10 8 10 11 11 13 11 13 15 11 13 15 11 14 15 12 12 15 12 16 19 12 16 20 14 17 20 17 18 21 17 18 21 17 18 21 17 19 21 21 20 23 14 23 23 22 24 19 22 25 24 22 25 24 4 25 24 23 26 24 23 26 25 24 26 25 24 26 25 24 22 26 25 27 26 26 27 27 26 28 27 27 27 27 28 29 28 28 29 28 28 29 28 28 29 29 29 29      24750      34313      40500 
396	 928000	1 0 13 2 6 4 4 3 4 23 3 11 7 5 2 8 5 18 0 6 10 9 7 12 10 18 13 11 9 7 12 9 0 14 9 16 17 11 17 23 12 10 15 13 19 15 13 20 16 13 20 16 14 21 18 18 21 19 18 3 20 19 24 20 21 24 17 21 25 21 22 26 22 23 27 22 23 27 24 24 28 24 24 6 24 25 28 25 25 28 25 25 28 26 25 29 26 26 29 27 26 29 27 26 29 28 26 29 28 27 29 28 27 29 29 27 8 29 28 29 29 28 29 29 28 29      54000      31500       9000 
495	 896456	1 0 8 1 0 23 14 2 11 3 2 12 4 0 16 4 2 13 6 2 13 12 3 14 7 3 14 8 6 9 5 15 15 5 9 16 10 11 16 10 11 17 13 12 17 20 14 19 15 16 20 9 16 21 17 17 7 18 19 21 18 19 22 20 21 22 23 21 23 24 21 23 24 22 24 22 23 24 24 24 25 26 24 25 27 24 25 27 24 25 28 25 25 28 25 25 28 26 26 28 26 26 29 26 26 29 27 26 29 27 27 29 27 28 29 27 28 19 28 28 29 29 29 29 29 29      40500      24409      28364 
693	 842000	27 1 25 5 2 0 8 2 1 9 2 23 10 3 2 13 9 2 13 6 3 13 7 3 26 27 4 19 10 5 15 11 6 15 11 26 15 11 7 16 11 8 17 12 4 20 12 9 18 12 10 19 14 11 20 17 12 20 17 14 20 17 14 21 17 16 22 21 17 22 21 24 23 22 18 23 22 18 24 22 19 22 23 21 25 23 24 25 23 24 26 24 25 26 24 26 26 24 25 27 25 25 28 26 27 28 26 27 28 27 27 28 28 28 29 28 28 29 28 29 29 28 29 29 29 29      27000       9000      54000 
792	 804000	2 1 20 2 2 0 4 4 9 4 23 3 4 7 5 15 8 5 0 0 6 5 9 29 29 10 18 12 11 10 13 12 9 14 14 17 14 25 11 6 23 12 16 15 13 8 15 13 17 16 13 17 16 14 18 18 18 18 19 7 19 20 19 21 20 21 22 17 21 22 21 22 22 3 6 23 22 23 23 24 24 24 24 24 24 24 25 24 25 16 25 25 25 25 26 25 26 26 26 26 27 26 26 27 6 27 28 26 27 28 27 28 28 27 28 29 27 28 29 28 29 29 28 29 29 28       9000      54000      27000 
891	 673500	6 22 20 2 26 0 4 1 15 23 23 3 7 2 5 23 2 8 20 3 6 9 0 7 10 4 18 11 5 1 12 6 9 14 26 17 3 7 11 23 8 12 15 28 13 15 9 13 29 10 13 16 11 14 18 12 18 19 14 18 20 13 19 20 16 21 17 17 21 21 24 22 22 20 23 22 18 23 24 19 24 24 21 19 24 24 25 25 24 16 25 25 25 26 26 25 26 25 26 27 25 26 27 27 26 28 27 15 28 27 27 28 28 27 29 28 27 29 29 28 29 29 28 29 29 28      24750      47250      15750 
990	 660184	0 1 22 13 2 0 27 4 1 4 23 23 12 7 2 4 8 2 5 21 3 6 9 22 26 10 28 6 11 5 6 12 6 9 14 26 10 17 7 10 23 8 11 15 28 3 15 9 13 16 10 15 16 11 18 18 12 18 19 14 19 20 13 19 20 16 19 17 17 19 21 24 20 3 5 13 22 18 20 24 28 21 24 21 23 24 24 23 25 24 25 25 25 25 26 26 25 26 25 26 27 25 26 27 27 26 28 27 26 28 27 27 28 28 27 29 28 29 29 14 29 29 29 29 29 29      18181      33635      35819 
1188	 644668	22 22 1 0 15 2 5 2 4 3 16 6 5 4 7 5 15 8 6 7 0 19 9 9 18 11 10 10 12 11 9 13 12 17 20 14 11 14 25 12 8 23 13 16 15 13 17 15 13 17 16 14 27 29 18 6 18 23 18 19 19 19 20 21 21 20 21 3 17 22 22 21 23 22 3 23 23 22 24 23 24 24 1 24 25 24 24 16 24 25 25 25 25 28 25 26 26 26 26 26 26 27 26 26 27 26 27 28 27 27 28 27 28 28 27 28 29 28 28 29 28 29 29 28 29 29      23111      11667      51333 
1287	 634000	22 14 20 0 28 0 1 8 9 23 15 1 2 10 5 2 4 5 3 26 6 23 13 29 4 15 18 5 15 10 6 15 9 26 15 17 7 15 11 8 16 12 28 19 13 9 17 13 10 18 13 11 19 14 12 20 18 14 20 7 13 20 19 16 21 21 17 22 21 24 22 22 20 23 6 18 23 23 19 24 24 21 25 24 24 25 25 24 25 16 25 26 25 26 26 25 25 26 26 25 27 26 27 28 6 27 28 26 27 26 27 28 28 27 28 29 27 29 29 28 29 29 28 29 29 28      69000      15000       3000 
1386	 605258	26 22 22 15 0 0 27 1 23 23 23 3 11 19 10 20 2 5 12 15 6 13 3 19 28 4 18 18 5 15 20 6 9 21 26 17 23 7 11 23 8 12 23 28 13 24 9 26 24 10 13 20 11 14 9 12 18 4 14 23 26 13 19 26 16 21 26 17 21 7 24 22 27 20 23 27 18 23 16 19 24 27 21 24 28 24 25 28 24 16 28 25 25 29 26 28 20 25 26 29 25 26 29 27 26 6 27 26 29 27 14 29 28 29 29 28 27 29 29 28 29 29 28 29 29 28       7057      67743      13257 
1584	 540000	14 20 22 28 0 0 15 9 1 11 1 23 10 5 12 4 5 2 26 6 3 13 29 23 15 18 4 15 10 5 15 9 6 15 17 26 15 11 7 16 12 8 19 13 28 17 13 9 18 13 10 19 14 11 20 18 12 9 7 14 20 19 13 21 21 16 22 21 17 22 22 24 13 6 20 23 23 18 24 24 19 25 24 21 29 25 24 21 16 24 26 25 25 26 25 26 26 26 25 27 26 25 28 6 27 28 26 27 26 27 27 28 27 28 29 27 28 29 28 29 29 28 29 29 28 29      15000          0      70000 
1782	 511600	10 14 22 15 28 26 2 15 1 4 11 23 19 10 2 5 19 23 18 25 3 29 13 0 18 15 4 12 15 5 13 15 6 20 15 26 14 15 7 8 16 8 16 19 28 17 17 9 17 18 10 27 19 11 6 20 12 18 9 14 19 20 13 21 21 16 3 22 17 22 22 24 22 13 20 23 23 18 23 24 19 24 25 21 24 29 24 24 21 24 25 26 25 25 26 26 26 26 25 26 27 25 26 28 27 27 28 27 27 26 27 28 28 28 28 29 28 28 29 29 29 29 29 29 29 29       4800      12800      67200 
1881	 143002	14 22 10 28 0 15 15 1 2 11 23 4 10 27 4 12 2 17 26 3 7 13 23 11 15 4 24 15 5 12 15 6 13 26 26 20 15 7 14 16 8 8 19 28 16 17 9 17 18 10 17 19 11 27 20 12 6 9 14 18 20 13 19 21 16 21 22 17 3 22 24 22 13 20 22 23 18 23 24 19 23 25 21 24 29 24 24 21 24 24 26 25 25 26 26 25 26 25 26 27 25 26 28 27 26 27 28 27 26 27 27 28 28 28 29 28 28 29 29 2 29 29 29 29 29 29      16167      63083       3583 
2367	 116000	24 0 9 24 1 10 24 2 11 24 3 12 24 4 13 25 5 13 26 6 14 26 7 14 26 8 15 12 9 15 26 10 16 26 11 16 8 12 17 27 13 17 27 14 18 28 15 18 28 16 19 28 17 19 28 18 20 28 19 20 28 20 21 29 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 19 29 24 24 29 25 20 29 25 25 29 25 25 29 26 25 29 26 26 29 26 28 29 27 26 29 27 27 29 27 28 29 28 27 29 28 28 29 28 28 29 29 29 29 29 29       6000      64000      13000 
2466	 111248	9 0 24 10 1 24 11 2 24 12 3 24 13 4 24 16 5 25 14 6 25 14 7 25 15 8 26 15 9 25 21 10 26 16 11 26 17 12 26 17 13 26 18 14 26 18 15 26 19 16 27 19 17 27 20 18 28 20 19 28 21 20 28 21 21 29 22 22 29 22 23 29 23 23 29 23 24 29 26 24 29 24 24 29 19 25 29 22 25 29 25 25 29 5 29 29 26 26 29 26 26 29 26 27 29 27 27 29 13 27 29 29 28 29 28 28 29 20 28 29 29 28 29 29 29 29      11500      65500       5452 
2565	  65268	24 0 18 24 1 9 24 2 11 10 3 12 24 4 13 3 5 13 26 6 14 26 7 14 26 8 15 12 9 15 26 10 16 5 11 16 8 12 17 27 13 17 27 14 18 28 15 22 28 16 19 28 17 19 28 18 20 28 19 20 28 20 21 6 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 19 29 24 24 29 25 20 29 25 25 29 25 25 29 26 25 29 26 26 29 26 28 29 27 10 29 27 27 29 27 28 29 28 27 29 28 28 29 28 28 29 29 29 29 29 29       6316      63684      13158 
2763	  64000	0 24 18 1 24 9 2 24 11 3 29 12 4 24 13 5 3 13 6 26 14 7 26 14 8 26 15 9 12 15 10 26 16 11 5 16 12 8 17 13 27 17 14 27 18 15 28 22 16 28 19 17 28 19 18 28 20 19 28 20 20 28 21 21 6 21 22 29 22 23 29 22 23 29 23 24 29 23 24 29 19 24 29 24 25 29 20 25 29 25 25 29 25 26 29 25 26 29 26 26 29 28 27 29 10 27 29 27 27 29 28 28 29 27 28 29 28 28 29 28 29 29 29 29 29 29      64000       6000      13000 
0	1100000	1 0 0 1 2 0 3 4 2 4 4 7 8 4 8 11 5 9 13 5 9 13 6 9 13 7 10 14 9 10 14 10 10 15 6 12 15 11 12 27 12 16 18 15 16 19 16 16 20 16 17 20 18 17 22 21 17 22 19 18 23 21 18 23 21 19 23 24 20 23 24 22 24 25 23 24 25 24 24 25 24 24 25 24 25 26 25 3 26 25 26 26 26 26 26 26 27 26 26 27 27 27 28 28 27 28 28 27 28 28 28 14 28 28 29 29 28 29 29 28 29 29 29 29 29 29      36000      36000      27000 
198	1034000	0 0 1 10 1 2 1 3 2 3 4 5 21 5 5 4 7 6 6 10 6 7 11 28 7 12 9 10 12 11 12 12 11 12 14 13 13 15 14 14 16 15 18 17 15 18 17 16 19 20 16 19 20 17 19 21 17 20 22 18 8 22 23 21 22 23 21 23 23 13 24 24 22 24 24 22 24 25 24 25 25 24 25 25 25 8 26 9 26 26 27 26 26 9 26 26 28 25 27 29 27 27 29 27 27 29 27 28 29 28 28 29 28 28 29 29 28 29 29 28 29 29 28 29 29 29      30000      33000      34000 
495	 983000	28 1 1 16 3 15 2 4 4 2 5 5 3 6 5 3 25 26 9 8 6 9 8 7 10 9 7 10 12 7 10 14 9 10 15 12 11 21 12 11 18 13 11 18 13 13 19 14 13 20 14 14 22 14 0 7 16 14 0 16 14 24 17 14 24 17 15 24 19 17 24 21 19 25 21 19 25 22 20 26 23 21 26 23 2 26 24 22 27 24 23 27 24 23 27 25 23 28 25 23 28 25 25 28 26 25 28 27 25 29 27 26 29 27 27 29 27 28 29 28 28 29 29 20 29 29      24000      42000      28500 
594	 806000	1 0 0 2 1 0 3 3 2 4 4 19 5 5 3 6 7 6 7 10 29 8 11 9 26 12 9 11 12 10 13 12 10 14 14 10 14 15 12 27 16 13 15 17 16 16 17 11 17 20 17 18 20 20 18 21 21 19 22 22 20 22 22 23 22 22 24 23 22 24 24 23 25 24 23 25 24 24 26 25 24 12 25 24 21 8 25 28 26 25 28 26 26 25 26 26 28 25 26 28 9 26 29 27 26 29 27 15 23 28 27 29 28 27 27 29 27 29 29 27 29 29 28 9 29 29      63000          0      27000 
693	 805334	1 0 1 2 0 4 3 2 22 4 19 7 5 3 7 6 6 7 7 29 8 8 9 12 26 9 9 11 10 9 13 10 11 14 10 0 14 12 12 27 13 12 15 16 12 16 11 13 17 17 15 18 20 17 18 21 17 19 22 17 20 22 19 23 22 19 24 22 19 24 23 21 25 23 21 25 24 20 26 24 23 12 24 23 21 25 24 28 25 24 28 26 24 25 26 25 28 26 25 28 26 26 29 26 26 29 15 26 23 27 26 29 27 27 27 27 27 29 27 27 29 28 27 9 29 28      63000      26667        666 
792	 756000	2 1 0 11 3 1 2 4 4 17 5 6 6 6 7 7 7 9 15 3 9 10 8 11 12 9 12 0 17 23 13 14 14 13 15 15 13 16 15 14 18 18 16 18 19 0 19 19 16 20 20 17 22 21 10 23 21 19 12 21 19 24 8 20 24 22 21 24 22 21 24 23 22 25 23 25 25 23 22 11 23 23 26 24 5 26 24 25 27 24 25 27 24 25 27 24 26 28 25 26 28 26 26 28 28 26 28 28 27 2 28 27 29 29 27 29 29 28 29 29 28 29 29 10 29 29      27000      48000      15000 
891	 638000	0 1 2 0 2 4 2 3 6 19 4 5 3 5 19 15 6 8 10 7 10 9 8 7 17 26 11 0 11 13 10 13 13 10 14 24 12 14 16 13 27 9 16 15 18 11 16 20 17 17 20 20 18 20 21 18 21 22 19 21 22 20 21 22 23 22 22 24 23 19 24 2 23 25 24 24 25 29 24 26 24 24 12 24 25 21 25 25 28 26 26 28 26 26 25 26 26 28 27 26 28 27 26 29 27 15 29 28 27 23 28 27 29 28 27 27 28 27 29 28 28 29 28 29 9 28      21000      54000       9000 
1377	 163100	0 9 24 1 10 24 2 11 24 3 12 24 4 13 24 5 13 21 6 14 24 7 14 25 8 15 25 9 15 26 10 16 26 11 16 26 12 17 24 13 17 26 14 18 27 15 18 27 16 19 27 17 19 27 18 20 28 19 20 28 20 21 28 21 21 28 22 22 29 23 22 29 23 23 29 24 23 29 29 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 7 29 26 26 29 27 26 29 27 20 29 27 27 29 28 27 29 28 2 29 28 28 29 28 29 29 29 29 29      63000      13500       6350 
1476	 130400	9 24 0 10 24 1 11 27 2 12 24 3 13 25 4 13 25 5 14 26 6 14 26 7 15 27 8 15 27 9 16 27 10 16 27 11 17 27 12 17 27 13 18 28 14 18 28 15 19 28 16 19 28 17 20 28 18 20 28 19 21 28 20 21 28 21 22 29 22 22 29 23 21 29 23 23 29 24 29 29 24 24 29 24 24 29 25 29 29 25 25 29 25 25 29 26 26 29 26 29 29 26 26 29 27 27 29 27 20 29 27 27 29 28 28 29 28 28 29 29 29 29 28 29 29 29      12000       4400      66000 
1674	 127612	3 0 9 5 1 10 24 2 11 25 3 12 25 4 13 2 5 13 9 6 14 26 7 14 21 8 15 26 9 15 19 10 16 4 11 16 27 12 17 27 13 17 27 14 18 27 15 18 28 16 19 28 17 19 28 18 20 29 19 20 29 20 21 29 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 20 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 29 29 28 28 29 28 28 29 28 29 29 29 29       7674      63000      13500 
2169	  76750	3 0 9 5 1 10 24 2 11 25 3 12 25 4 13 2 5 29 9 6 14 26 7 27 21 8 15 26 9 15 19 10 16 4 11 16 27 12 17 27 13 17 6 14 18 22 15 18 28 16 19 28 17 19 28 18 20 29 19 20 29 20 21 29 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 29 29 25 24 29 25 25 29 25 20 29 26 25 29 26 26 29 26 14 29 27 26 29 27 27 29 27 27 29 28 29 29 28 13 29 28 28 29 28 29 29 29 29       6531      63469      13265 
2268	  50012	3 9 0 5 10 1 8 11 2 25 12 3 25 13 4 2 13 5 9 14 6 26 14 7 21 15 8 26 15 9 19 16 10 4 16 11 27 17 12 7 17 13 27 18 14 27 18 15 22 19 16 28 19 17 28 20 18 29 20 19 29 21 20 29 21 21 29 22 22 29 22 23 29 23 23 29 23 24 29 24 24 29 24 24 29 24 25 29 25 25 29 20 25 29 25 26 29 26 26 29 26 26 29 29 27 29 27 27 29 27 27 29 29 28 29 6 28 29 28 28 29 29 28 29 29 29       7083      13542      62917 
0	 872000	3 2 0 4 3 1 5 3 1 6 4 1 9 5 2 12 15 4 13 6 7 13 6 7 14 7 8 14 8 8 15 10 8 16 10 9 17 10 9 20 2 9 20 16 10 21 17 11 23 17 11 23 17 11 23 18 11 23 18 11 24 19 12 24 19 14 24 21 15 0 22 16 24 22 18 25 22 19 25 22 21 25 24 21 25 24 25 25 25 26 26 26 26 12 26 26 28 27 26 28 27 26 20 27 26 29 27 26 29 27 27 29 27 27 29 28 28 29 28 28 29 28 28 29 28 28      40500      36000      18000 
387	 174290	0 9 13 1 10 24 2 11 24 3 12 24 4 13 25 5 13 25 6 14 25 7 14 25 8 15 25 9 15 25 10 16 25 11 16 26 12 17 26 13 17 26 14 18 26 15 18 27 16 19 27 17 19 27 18 20 27 19 20 27 20 21 27 21 21 27 22 22 28 23 22 28 23 23 28 24 23 29 24 25 29 24 24 29 29 24 29 25 25 29 25 25 29 26 25 29 26 21 29 26 26 29 27 26 29 27 27 29 27 27 29 28 29 29 28 28 29 28 20 29 28 29 29 29 29 29      63000      13500       5285 
585	 153176	24 0 9 24 1 10 25 2 11 20 3 12 25 4 13 25 5 13 25 6 15 25 7 14 25 8 15 25 28 25 26 10 16 26 11 16 27 12 17 27 13 17 27 14 18 27 15 18 28 16 19 28 17 19 28 18 20 14 19 20 28 20 21 29 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 9 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 25 29 27 29 29 27 27 29 28 27 29 29 28 29 28 28 29 28 29 29 29 29       5365      64636      12682 
783	 102800	0 24 9 1 10 29 2 24 11 3 25 12 4 25 13 5 6 13 6 25 14 7 25 14 8 15 15 9 12 29 10 26 16 11 26 16 12 26 17 13 27 17 14 27 18 15 7 18 16 27 19 17 27 19 18 3 20 19 28 20 20 28 21 21 28 21 22 10 22 23 29 22 23 29 23 24 29 23 24 29 29 24 29 24 25 29 24 25 29 29 25 29 29 26 29 25 26 29 26 26 29 21 27 29 26 27 29 27 27 29 27 28 29 20 28 29 22 28 29 28 28 29 29 29 29 29      63488       6512      13256 
1080	  72194	9 13 0 10 6 1 11 15 2 4 2 3 16 10 4 13 12 5 14 25 6 14 25 7 15 15 8 19 9 9 16 26 10 21 29 11 17 14 12 17 26 13 18 8 14 18 27 15 19 27 16 19 3 17 20 5 18 20 11 19 21 28 20 21 28 21 22 29 22 22 29 23 12 29 23 23 29 24 24 29 24 24 29 24 24 29 25 25 29 25 29 29 25 25 29 26 20 29 26 26 29 26 26 29 27 27 29 27 22 29 27 27 29 28 23 29 28 28 29 28 29 29 28 29 29 29      12333       8571      63000 
1476	  69336	9 13 0 10 6 1 11 15 2 4 2 3 16 13 4 13 12 5 14 25 6 14 25 7 15 15 8 19 9 9 16 26 10 21 29 11 17 14 12 17 26 13 18 8 14 18 27 15 19 27 16 19 3 17 20 5 18 20 11 19 21 28 20 21 28 21 22 29 22 22 29 23 12 29 23 23 29 24 24 29 24 24 29 24 24 29 25 25 29 25 29 29 25 25 29 26 20 29 26 26 29 26 26 29 27 27 29 27 22 29 27 27 29 28 23 29 28 28 29 28 29 29 28 29 29 29      12333       8167      63000 
1575	  52730	9 13 0 10 6 1 11 15 2 4 2 3 16 10 4 13 7 5 14 25 6 14 25 7 15 15 8 19 9 9 16 26 10 21 29 11 17 13 12 17 26 13 18 8 14 18 27 15 19 27 16 19 3 17 20 5 18 20 11 19 21 28 20 21 28 21 22 29 22 22 29 23 12 29 23 23 29 24 24 29 24 24 29 24 24 29 25 25 29 25 29 29 25 25 29 26 20 29 26 26 29 26 26 29 27 27 29 27 22 29 27 27 29 28 23 29 28 28 29 28 29 29 28 29 29 29      12470       8571      62597 
2169	  48646	9 13 0 10 19 1 11 15 2 4 2 3 16 29 4 13 7 5 14 6 6 14 25 7 15 15 8 29 9 18 16 26 10 21 29 11 17 13 12 17 26 13 18 8 14 18 27 15 19 27 16 19 3 17 20 5 9 20 11 19 21 28 20 21 28 21 22 29 22 22 29 23 12 29 23 23 29 24 24 29 24 24 29 24 24 29 25 25 25 25 29 29 25 25 29 26 20 29 26 26 29 26 26 29 27 27 29 27 22 29 27 27 29 28 23 29 28 28 29 28 29 29 28 29 29 29      13863       7727      62273 
0	1301000	1 1 0 4 3 2 4 6 2 5 6 3 5 10 6 6 11 7 7 12 7 8 16 7 8 14 7 9 14 7 10 15 9 11 16 9 12 16 9 14 15 13 15 17 13 20 17 13 20 17 17 20 18 17 0 19 17 22 19 18 23 19 18 24 19 18 24 21 19 24 22 21 25 23 21 25 23 21 25 23 22 25 23 23 26 24 23 26 25 24 27 25 24 27 26 25 27 26 26 28 27 26 29 27 26 29 27 26 29 28 26 29 28 27 29 28 27 29 28 27 29 28 28 29 28 28      40500      31500      31500 
198	 953000	0 2 1 2 4 1 3 8 1 4 25 0 5 8 3 5 10 6 19 10 12 6 10 7 7 10 7 8 12 11 9 12 9 13 13 10 13 14 11 16 14 11 16 14 12 17 18 13 19 18 15 19 18 17 26 18 18 21 20 18 15 20 18 21 20 19 22 20 20 22 23 20 23 25 20 24 25 23 24 25 23 14 25 23 25 25 24 25 25 24 26 26 24 27 26 24 27 26 24 27 26 25 28 26 26 28 26 26 29 27 27 29 27 27 29 27 28 29 27 28 29 28 28 29 28 28      49500      13500      31500 
684	 499480	0 9 24 1 10 24 2 11 25 3 12 25 4 13 25 5 13 25 6 14 26 7 14 26 8 15 26 9 15 26 10 16 26 11 16 26 12 17 26 13 17 26 14 18 26 15 18 27 16 19 27 17 19 28 18 20 28 19 20 28 20 21 28 21 21 28 22 22 28 23 22 29 23 23 29 24 23 29 24 22 29 24 24 29 25 21 29 25 25 29 25 25 29 26 19 29 26 26 29 26 20 29 27 26 29 27 27 29 27 27 29 29 27 29 28 28 29 28 28 29 28 29 29 29 29 29      70000      10000       6316 
783	 192000	0 29 24 1 10 24 2 11 14 3 12 24 4 13 25 5 6 26 6 14 26 7 15 26 8 9 26 9 15 26 10 16 26 11 16 26 12 17 27 13 17 27 14 18 27 15 18 28 16 19 28 17 19 28 18 20 28 19 20 29 20 21 29 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 29 29 26 26 29 27 29 29 27 27 29 27 27 29 28 27 29 28 13 29 28 28 29 28 29 29 29 29 29      63000      13500       6500 
882	 154076	9 24 0 10 25 1 11 29 2 12 26 3 22 26 4 13 26 5 14 26 6 14 26 7 15 26 8 15 27 9 16 27 10 16 27 11 17 27 12 17 27 13 18 27 14 18 28 15 19 28 16 19 28 17 20 13 18 20 28 19 21 29 20 21 29 21 22 29 22 22 29 23 23 29 23 23 29 24 24 29 24 27 29 24 24 29 25 20 29 25 25 29 25 25 29 26 26 29 26 27 29 26 26 29 27 27 29 29 27 29 27 27 29 28 28 29 28 28 29 28 29 29 28 29 29 29      12386       5424      65228 
981	 115000	25 0 9 24 1 10 29 2 11 2 3 12 4 4 5 6 5 13 7 6 14 15 7 13 29 8 15 1 9 15 29 10 16 8 11 16 12 12 17 20 13 17 14 14 18 17 15 18 22 16 19 28 17 19 28 18 20 28 19 20 28 20 21 0 21 21 3 22 22 10 23 22 19 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 21 25 25 29 26 25 29 26 26 29 26 26 26 27 26 29 27 27 29 27 27 29 28 27 29 28 27 29 28 28 29 28 29 29 29 29      10500      55500      16500 
1278	  89100	0 24 9 1 19 13 2 29 11 3 26 12 4 26 22 5 26 13 6 4 14 7 26 14 8 26 15 9 27 10 10 27 16 11 27 16 12 27 17 13 27 17 14 27 18 15 28 18 16 21 19 17 8 19 18 13 20 19 28 20 20 29 21 21 29 21 22 29 22 23 29 22 23 29 23 24 29 23 24 29 24 24 29 27 25 29 24 25 29 20 25 29 25 26 29 25 26 29 15 26 29 27 27 29 26 29 29 27 27 29 27 28 29 27 28 29 28 28 29 25 28 29 29 29 29 29      64544       5455      12728 
1377	  86736	0 24 9 1 19 13 2 29 11 3 26 12 4 12 22 5 26 13 6 4 14 7 26 14 8 26 15 9 27 10 10 27 16 11 27 16 12 27 17 13 27 17 14 27 18 15 28 18 16 21 19 17 8 19 18 13 20 19 28 20 20 29 21 21 29 21 22 29 22 23 29 22 23 29 23 24 29 23 24 29 24 24 29 27 25 29 24 25 29 20 25 29 25 26 29 25 26 29 15 26 29 27 27 29 26 29 29 27 27 29 27 28 29 27 28 29 28 28 29 25 28 29 29 29 29 29      65326       5421      12337 
