
0	1816000	0 1 3 0 1 3 2 5 4 2 5 7 2 6 8 3 7 8 4 9 12 6 9 14 8 10 14 10 10 14 11 11 16 12 11 16 15 12 16 17 13 16 18 13 16 20 13 16 22 14 16 24 15 17 24 15 17 24 18 17 24 19 18 25 20 19 25 21 20 25 22 20 25 23 20 26 23 20 26 24 21 26 25 22 27 25 22 27 25 22 27 26 22 28 26 23 28 27 23 29 27 24 29 27 24 29 28 24 29 28 26 29 28 26 29 28 26 29 28 27 29 28 28 29 29 28      27000      47000      43000 
99	1548500	0 1 1 3 2 5 3 2 5 4 3 6 4 7 6 6 9 7 5 10 7 9 10 8 9 16 10 11 14 12 11 14 12 11 15 13 12 15 13 18 15 13 19 17 13 21 17 14 22 18 16 22 19 16 22 21 16 24 23 17 25 23 17 25 23 18 20 23 20 13 23 20 26 23 21 26 24 23 26 24 23 26 24 24 8 24 24 27 25 25 28 25 26 28 25 27 28 25 27 29 26 27 29 27 27 29 28 27 29 28 27 29 28 28 29 28 28 29 28 28 29 29 28 29 29 29      54750      35250      19500 
495	1546250	0 9 0 2 1 1 2 2 2 3 2 4 3 4 4 4 4 6 5 5 6 20 6 9 11 7 9 8 7 9 7 8 10 12 10 10 12 11 11 13 12 14 13 12 15 14 13 15 15 15 16 16 16 16 17 17 18 18 19 18 19 22 18 21 20 19 22 23 20 23 23 21 25 24 22 25 24 22 1 24 23 26 24 23 27 24 24 28 24 24 28 25 25 28 25 25 28 25 25 28 26 26 29 26 26 29 27 26 29 27 17 29 28 27 29 28 27 29 29 27 29 29 27 29 29 28      43875      19125      46125 
693	1445430	0 0 0 1 6 2 3 18 2 13 7 3 4 9 3 6 2 17 6 1 5 9 4 20 24 15 11 3 15 8 10 8 7 10 14 12 12 16 12 14 11 13 15 19 13 15 19 14 16 21 15 16 22 16 18 12 17 18 23 18 18 5 19 19 24 21 20 24 22 21 24 23 22 24 9 22 18 25 23 13 1 23 25 26 24 25 27 24 20 28 25 26 28 25 26 28 25 26 28 26 26 28 26 26 29 26 27 29 17 27 29 27 27 29 27 28 29 27 28 29 27 28 29 28 29 29      36000      42285      29715 
792	1209000	0 0 20 2 6 1 2 11 3 3 7 13 3 9 4 17 17 6 5 1 6 20 4 9 11 15 24 8 15 3 7 8 10 12 14 10 12 16 12 13 11 14 13 19 15 14 19 15 15 21 16 16 22 16 17 12 18 18 23 18 19 5 18 21 24 19 22 24 20 23 24 21 9 24 22 25 18 22 1 13 23 26 25 23 27 25 24 28 20 24 28 26 25 28 26 25 28 26 25 28 26 26 29 26 26 29 27 26 29 27 17 29 27 27 29 28 27 29 28 27 29 28 27 29 29 28      31500      31500      37500 
1089	1146000	20 0 0 1 2 29 3 2 17 13 3 7 4 3 9 6 17 2 6 5 1 9 20 4 24 11 15 3 8 11 10 7 8 10 12 14 12 12 16 14 13 11 15 13 19 15 14 19 16 15 21 16 16 22 18 17 12 18 18 23 18 19 5 19 21 24 20 22 24 21 23 24 22 9 24 22 25 18 23 1 13 23 26 25 24 27 25 24 28 20 25 28 26 25 28 26 25 28 26 26 28 26 26 29 26 26 29 27 17 29 27 27 29 27 27 29 28 27 29 28 27 29 28 28 29 29      36000      27000      36000 
1287	1130000	0 0 28 17 6 20 23 20 17 3 7 5 3 10 11 3 2 2 16 1 16 5 4 8 13 10 9 5 15 9 6 8 12 7 14 13 7 16 14 7 11 15 10 19 15 10 19 18 10 21 0 12 22 19 14 12 3 15 23 21 18 5 23 20 24 23 21 24 4 21 24 24 23 24 25 13 18 25 24 13 10 24 25 26 24 25 26 25 20 27 25 17 6 25 26 28 27 26 22 27 26 29 27 26 29 27 27 29 28 27 29 28 27 29 28 28 29 28 28 29 28 28 29 29 29 29       9000      54000      36000 
1485	1048000	28 7 0 20 2 6 18 24 20 5 3 7 3 15 21 2 4 2 16 10 1 8 10 4 9 28 10 9 17 15 12 14 8 13 6 14 14 15 16 15 15 11 15 17 19 18 17 19 0 18 21 19 11 22 3 21 12 21 8 23 23 23 5 23 23 9 4 23 24 24 23 24 25 23 24 25 24 18 10 24 13 26 24 25 26 24 25 27 12 20 6 25 17 28 25 26 22 25 26 29 26 26 29 27 26 29 28 27 29 28 27 29 28 27 29 28 28 29 28 28 29 22 28 29 29 29      24000      15000      57000 
1881	1047200	0 0 25 6 6 20 0 7 17 0 28 5 10 9 7 17 2 4 28 1 16 6 4 8 10 11 9 1 18 9 8 8 12 14 14 13 16 16 14 11 11 15 19 10 15 19 19 18 21 21 0 22 22 19 15 12 3 23 23 21 5 24 23 24 24 23 24 24 4 24 24 24 24 24 25 18 18 25 13 13 10 25 25 26 25 25 26 20 20 27 9 17 6 26 26 28 26 26 22 26 26 2 26 26 29 27 27 29 27 27 29 27 27 29 28 28 29 28 28 29 28 28 29 3 29 29      23400      32400      39600 
1980	1026800	10 0 28 29 6 20 17 3 17 15 7 5 9 9 11 2 7 2 1 1 16 4 4 8 0 10 9 28 25 4 8 8 12 14 14 13 16 16 14 11 11 15 19 19 15 19 19 18 21 21 0 22 22 19 12 12 3 23 23 21 5 5 23 24 24 23 24 24 4 24 24 24 24 24 25 18 18 25 13 13 10 25 25 26 25 25 26 20 20 27 26 17 6 26 26 28 26 26 22 26 26 29 26 26 29 27 27 29 27 27 29 27 27 29 28 28 29 28 28 29 28 28 29 29 29 29      23400      32400      39600 
