
0	7881800	0 1 5 2 8 7 13 10 7 16 3 9 20 12 12 20 13 13 21 14 14 21 18 14 22 18 15 24 24 15 24 11 17 25 29 21 26 29 22 26 29 23 4 30 23 27 31 23 27 31 25 27 19 28 28 34 30 28 35 31 30 35 34 32 37 36 32 38 36 33 38 37 33 38 39 35 39 40 36 39 41 38 40 41 41 41 42 43 41 43 43 42 43 44 42 43 44 45 44 45 45 45 46 46 46 6 46 47 49 47 48 49 47 48 49 48 48 49 49 48     135000     135000     135000 
99	7786800	5 49 6 8 5 10 8 5 10 17 5 13 15 22 14 2 24 14 19 19 0 9 20 15 21 20 18 27 26 4 0 21 24 26 23 25 16 11 25 29 28 27 29 18 28 30 30 28 31 30 28 3 31 46 34 32 29 34 33 31 7 33 32 36 34 35 37 34 36 4 34 38 38 34 38 40 35 39 10 36 39 42 36 41 43 37 41 13 40 41 44 40 42 44 41 43 14 43 44 46 43 1 46 1 45 46 45 47 47 45 48 12 47 49 48 47 49 48 48 49     135000     153000     112500 
198	7083800	6 2 4 9 0 7 8 4 8 14 5 9 16 10 10 17 12 10 19 35 11 19 15 19 0 1 20 24 18 26 25 22 27 25 23 27 27 26 28 21 26 29 20 27 31 29 27 0 29 28 32 31 28 32 32 30 32 32 42 32 3 33 33 36 34 34 36 34 34 37 35 36 39 35 37 39 36 37 39 36 38 39 36 40 41 38 41 46 40 41 46 43 41 46 44 42 13 11 43 47 45 44 7 46 44 49 46 45 49 47 45 49 47 45 49 48 45 49 48 48     153000     189000      36000 
396	6523800	21 5 0 9 3 12 1 6 3 15 10 4 14 7 11 14 9 23 14 11 14 27 11 28 15 32 15 16 12 5 19 13 17 31 16 20 25 17 20 26 18 22 42 20 26 28 23 27 29 24 19 30 25 29 8 28 30 18 28 31 12 2 32 0 33 33 42 34 34 45 35 34 35 36 35 35 36 38 37 37 38 38 37 24 38 38 39 39 22 39 40 40 41 41 40 6 43 4 44 44 43 45 44 14 46 46 44 46 47 41 47 48 46 7 49 47 48 49 48 49     150000     126000      93000 
495	6511800	0 5 21 12 3 9 3 6 1 4 10 15 11 7 14 23 9 14 14 11 14 28 11 27 15 32 15 5 12 16 17 13 19 21 16 31 20 17 25 22 18 26 26 20 42 27 23 28 19 24 29 29 25 30 30 28 8 31 28 18 32 2 12 33 33 0 34 34 42 34 35 45 35 36 35 38 36 35 38 37 37 24 37 38 39 38 38 39 22 39 41 40 40 6 40 41 44 4 43 45 43 44 46 14 44 46 44 46 47 41 47 7 46 48 48 47 49 49 48 49     104000     126000     139000 
594	6410800	40 0 8 9 37 6 32 7 16 14 13 17 18 9 12 1 10 31 6 10 21 22 44 0 23 26 23 8 28 11 25 16 27 24 35 25 34 19 26 2 20 32 3 21 29 31 22 30 31 30 30 11 29 33 15 23 33 37 33 34 12 35 34 39 35 35 39 1 36 39 36 37 39 38 38 17 37 5 41 41 24 41 41 40 42 42 42 0 12 19 43 27 43 45 43 44 45 45 4 46 45 46 47 4 3 47 46 39 28 47 47 44 47 48 49 48 48 49 48 49     137250     135000      90000 
693	6373800	0 8 40 37 6 9 7 16 32 13 17 14 9 15 18 21 31 1 10 21 6 44 0 22 26 23 23 28 11 8 16 27 25 35 25 24 19 26 34 20 32 2 21 29 3 22 30 31 30 30 31 29 18 11 23 33 15 33 34 37 35 34 12 35 35 39 1 36 39 36 37 39 38 38 39 37 5 17 41 24 41 41 40 41 42 42 42 12 19 0 27 43 43 43 44 45 45 4 45 45 46 46 4 3 47 46 39 47 47 47 28 47 48 44 48 48 49 48 49 49     135000      90000     137250 
792	6226800	40 20 0 9 13 5 32 16 7 14 17 13 18 15 10 35 31 10 6 21 10 22 0 10 23 6 11 8 11 16 25 27 28 24 25 35 34 26 19 2 32 20 3 29 21 31 30 22 31 30 7 11 18 29 15 33 23 37 34 33 12 34 35 39 35 35 39 36 1 39 37 36 39 38 38 17 5 37 10 24 41 41 40 41 42 42 42 0 19 12 43 43 27 45 44 43 45 4 45 46 46 45 7 3 4 47 39 46 28 47 47 44 48 47 49 48 48 49 49 48     135000     175500      49500 
891	5704800	32 10 0 3 13 12 6 1 3 10 15 4 7 14 11 21 14 23 11 14 14 11 27 32 32 15 15 5 16 5 13 19 17 16 31 21 17 25 20 18 26 22 20 42 26 23 28 27 24 29 19 25 30 29 28 8 30 28 18 31 2 12 9 33 0 33 34 42 34 35 45 34 36 35 35 36 35 38 37 37 38 37 38 24 38 38 39 22 39 39 40 40 41 40 41 6 4 43 2 43 36 45 14 44 46 44 46 46 41 47 47 46 48 7 47 49 48 48 49 49     101250     137250     105750 
1287	5551800	5 10 8 3 13 42 6 1 21 18 4 17 7 14 12 9 14 31 12 14 19 11 27 5 49 15 23 12 16 11 13 19 27 16 31 25 8 30 26 39 26 32 20 42 29 23 28 30 24 29 30 25 17 33 19 8 33 28 18 34 2 12 34 33 0 35 34 42 36 35 45 37 21 35 38 36 35 5 37 37 13 37 38 40 38 38 42 22 39 19 45 40 43 40 41 44 32 43 4 43 36 10 14 44 3 44 46 39 41 47 47 46 48 48 47 49 48 48 49 49     153000     135000      54000 
1584	5287800	21 10 5 42 13 3 6 1 6 17 15 10 20 14 29 49 14 9 9 14 21 5 32 11 23 15 32 11 17 12 27 17 13 8 31 16 26 25 31 32 26 4 29 42 20 30 28 23 30 34 24 33 33 25 33 8 28 34 18 28 34 12 19 35 0 30 45 42 34 37 45 35 38 35 29 5 35 36 24 27 37 40 2 37 42 38 38 19 39 22 22 40 40 44 41 40 4 43 4 46 36 43 7 44 14 39 46 44 47 47 41 16 48 46 48 49 47 49 49 48      90000     167500      80000 
1980	5263800	21 10 5 47 13 3 6 1 6 0 15 31 20 3 29 49 14 9 39 14 21 5 32 11 23 15 32 11 17 23 27 17 13 8 31 16 26 25 31 10 26 4 9 42 20 30 28 23 30 34 24 33 33 25 33 8 28 34 18 28 34 12 19 35 0 30 45 42 34 37 45 35 38 35 29 5 35 36 24 27 37 40 2 37 42 38 38 19 39 22 22 40 40 44 41 40 4 43 4 46 36 43 7 44 14 39 46 44 47 47 41 16 48 46 48 49 47 49 49 48      90000     153000      94500 
2277	5228800	5 10 21 3 13 47 6 1 6 31 15 0 29 14 20 9 14 49 21 14 39 11 32 5 32 15 23 23 17 11 13 17 27 16 31 8 31 25 26 4 26 10 20 42 9 23 28 30 24 34 30 25 33 33 28 8 33 28 18 34 19 12 34 30 7 35 34 42 45 35 45 37 29 35 38 36 35 5 37 27 24 37 2 40 38 38 42 22 39 19 40 40 22 40 41 44 4 43 4 43 36 46 14 44 7 44 46 39 41 47 47 46 48 16 47 49 48 48 49 49      94500     155500      87500 
3069	5212800	10 21 5 13 47 3 1 6 6 15 0 31 14 20 29 14 49 9 14 39 21 32 3 11 15 23 32 17 11 23 17 27 13 31 38 16 25 26 31 26 10 4 42 9 20 28 30 23 34 30 24 33 33 25 29 33 28 18 34 28 12 34 19 8 35 30 42 45 34 45 37 35 35 38 29 35 5 36 27 24 37 2 40 37 38 42 38 39 19 22 40 22 40 41 44 40 43 4 4 36 46 43 44 7 14 46 39 44 47 47 41 48 16 46 49 48 47 49 49 48     167500      90000      80000 
3861	4862800	19 24 36 29 3 12 32 8 28 34 9 14 18 4 22 14 7 1 14 15 33 47 17 27 30 22 48 17 18 24 36 13 23 31 16 25 25 32 48 5 39 21 42 6 23 39 38 31 3 29 46 33 25 35 8 19 29 18 28 11 12 2 17 0 33 30 42 34 16 45 35 43 35 0 39 35 36 40 27 37 19 2 37 41 38 38 42 39 10 0 40 45 26 41 40 15 43 32 45 36 43 34 44 14 5 46 44 47 47 41 44 48 46 20 49 47 49 49 48 49      24750     126000     175500 
4455	4365800	24 36 38 3 12 11 8 28 32 9 14 19 4 22 49 7 1 14 15 33 42 17 27 47 22 48 30 18 24 17 13 23 10 16 25 31 32 48 25 39 21 26 6 23 42 38 31 28 29 46 3 25 35 33 19 29 8 28 11 18 2 17 12 33 30 0 34 16 42 35 43 45 0 39 35 36 40 35 37 19 27 37 41 2 38 42 38 10 0 39 45 26 40 40 15 41 32 45 43 43 34 36 14 5 44 44 47 46 41 44 47 46 20 48 47 49 49 48 49 49     126000     150000      39000 
4653	4357800	47 36 9 3 12 27 8 28 27 5 14 9 29 22 30 7 1 37 4 33 26 6 27 21 22 48 15 18 24 8 13 12 25 16 25 31 32 35 25 39 21 48 30 23 10 38 31 33 21 46 32 25 2 3 9 29 13 28 11 18 2 17 24 33 30 0 34 16 42 35 43 6 0 39 35 36 40 35 37 19 22 37 41 4 38 42 38 10 0 39 45 26 40 40 15 41 32 45 43 43 34 5 14 5 44 44 47 46 41 44 47 46 20 48 47 49 20 48 49 49      90000     165000      60000 
