
0	7881800	0 1 5 2 8 7 13 10 7 16 3 9 20 12 12 20 13 13 21 14 14 21 18 14 22 18 15 24 24 15 24 11 17 25 29 21 26 29 22 26 29 23 4 30 23 27 31 23 27 31 25 27 19 28 28 34 30 28 35 31 30 35 34 32 37 36 32 38 36 33 38 37 33 38 39 35 39 40 36 39 41 38 40 41 41 41 42 43 41 43 43 42 43 44 42 43 44 45 44 45 45 45 46 46 46 6 46 47 49 47 48 49 47 48 49 48 48 49 49 48     135000     135000     135000 
4356	7553000	0 1 19 46 19 7 13 3 13 7 18 1 20 12 12 20 21 13 9 14 14 9 18 43 16 1 34 6 24 15 24 47 17 4 32 21 26 29 39 33 21 5 1 42 23 12 26 31 2 16 25 27 17 28 28 34 30 26 35 31 30 35 7 34 4 1 32 36 6 33 38 37 33 38 39 35 39 15 36 39 41 38 37 11 41 40 42 13 41 40 43 5 42 22 42 43 10 41 44 27 45 45 44 46 46 8 46 47 49 47 44 9 47 25 49 29 48 49 48 48     151200      90000     153000 
5742	7430800	0 1 3 3 19 2 13 29 5 7 18 9 4 10 14 22 6 15 12 25 35 1 15 21 11 23 37 22 2 21 24 8 17 27 32 21 20 9 10 26 15 18 40 30 41 24 3 31 33 16 25 27 17 28 28 34 30 28 35 31 30 30 34 34 37 1 32 36 14 33 38 37 33 38 39 29 39 15 36 39 41 38 37 38 28 41 42 43 41 40 43 28 42 44 42 43 10 45 44 27 45 45 25 47 46 8 46 30 49 47 42 49 47 48 49 48 26 49 48 48     140000     153000      98500 
7326	7141300	17 31 3 3 0 47 48 29 7 7 24 31 4 16 29 6 28 13 12 25 14 9 15 47 11 23 9 7 14 20 24 11 17 8 32 21 25 18 10 2 46 39 40 6 24 11 26 31 33 9 34 27 17 26 18 27 30 28 23 31 30 35 34 34 37 1 32 22 14 5 19 37 33 38 39 35 19 15 36 39 41 38 40 11 29 41 12 13 41 40 43 32 8 22 42 43 44 41 44 27 45 45 44 8 46 6 46 47 10 47 42 49 47 36 28 48 48 49 49 48     114750     135000     135000 
9603	6719800	35 26 7 22 21 47 49 29 6 7 18 31 4 29 16 16 28 13 12 25 35 9 15 47 24 23 45 16 14 20 25 11 19 0 32 2 25 40 10 10 46 26 40 17 47 11 3 48 33 23 34 27 26 28 18 27 30 28 24 31 30 35 34 34 37 1 32 22 20 33 19 37 33 38 39 35 39 15 36 39 41 38 37 38 29 41 5 13 41 40 43 42 42 44 42 43 3 45 44 45 16 45 25 5 46 8 46 16 10 47 42 49 47 36 49 48 48 49 48 48     133500     135000     105000 
11484	6583800	2 21 7 24 3 47 6 29 6 7 12 10 4 0 16 6 6 45 12 3 35 11 25 26 9 23 49 4 38 10 2 48 19 11 32 2 37 40 10 2 46 2 40 29 31 12 3 49 33 23 22 27 26 28 18 27 30 28 35 31 30 35 34 34 37 1 32 21 14 2 7 37 33 38 39 29 39 15 36 39 20 38 37 11 28 41 23 13 41 40 43 32 42 22 42 43 44 41 44 27 45 45 25 5 46 8 46 17 47 47 42 49 47 36 49 36 48 49 48 48     153000      81000     135000 
11979	5722800	36 26 17 22 21 20 23 21 3 24 18 31 12 29 16 16 10 24 12 25 47 43 25 24 11 27 40 7 38 14 4 48 4 6 39 25 47 40 2 10 46 39 40 16 24 20 3 13 10 11 23 27 26 28 18 27 30 28 24 31 30 35 34 34 37 1 32 22 20 33 19 37 33 38 39 35 19 15 36 39 41 38 37 38 29 41 23 13 41 40 43 32 9 44 42 43 44 45 44 27 45 45 44 5 46 8 46 17 47 47 42 49 47 36 49 0 48 49 48 48     121500      90000     135000 
14454	5447800	49 26 16 22 21 24 6 16 3 7 18 10 30 29 28 23 10 13 12 25 47 21 25 12 11 7 5 7 38 5 25 48 4 20 43 0 47 31 2 42 46 26 40 17 24 22 3 39 22 11 14 27 26 28 18 27 30 28 24 31 30 35 34 34 37 1 32 22 21 33 19 37 33 38 39 35 19 15 36 39 41 38 37 38 29 41 23 13 41 40 43 32 9 22 42 43 44 45 44 27 45 45 44 5 46 8 46 17 47 47 42 49 47 36 49 36 48 49 48 48     135000      72000     135000 
15246	5395800	36 26 16 22 4 7 6 16 3 7 18 10 32 29 28 6 10 24 46 25 47 20 25 12 11 9 49 7 7 5 4 14 4 20 43 24 47 21 2 42 6 26 40 16 31 14 0 39 22 40 23 27 26 28 18 12 30 28 24 31 30 35 34 34 37 1 32 22 21 33 19 37 33 23 39 35 19 15 36 39 41 38 37 38 29 41 23 13 41 40 43 32 9 22 42 43 44 45 44 27 45 45 25 5 46 8 46 17 47 47 42 49 47 36 49 48 48 49 48 48     132000      75000     135000 
15939	5379800	36 26 16 22 4 7 6 16 3 7 18 10 32 29 28 6 10 24 46 25 47 20 25 12 11 9 49 7 7 5 4 14 4 20 43 24 47 21 2 42 6 26 40 13 31 14 0 39 12 40 23 27 26 28 18 12 30 28 24 31 30 35 34 34 37 1 32 22 21 33 19 37 33 23 39 35 19 15 36 39 41 38 37 38 29 41 23 13 41 40 43 32 9 22 42 43 44 45 44 27 45 45 25 5 46 8 46 17 47 47 42 49 47 36 49 48 48 49 48 48     132000      75000     135000 
