
0	7298200	4 2 2 0 9 3 3 1 12 4 5 5 13 6 6 7 14 6 10 13 15 7 11 14 17 8 16 14 18 8 17 14 18 10 19 18 22 12 20 18 26 13 22 18 27 15 23 20 30 17 24 21 30 19 28 23 31 20 29 24 32 21 31 25 35 22 33 25 36 24 33 25 38 24 34 25 39 24 34 25 40 26 34 25 40 27 34 26 41 27 36 27 41 28 36 28 41 32 36 29 41 32 37 29 43 33 37 30 44 34 37 32 45 34 39 32 45 34 39 32 45 35 40 38 46 36 42 38 46 37 42 38 47 39 43 40 48 42 44 42 48 44 44 44 49 47 46 45 49 49 47 47 49 49 47 47 49 49 48 49     119700      87300     135000      47700 
1485	6540800	1 2 7 0 4 22 7 12 12 4 7 5 13 8 6 8 17 6 10 9 15 14 11 14 48 3 15 29 45 22 21 21 18 14 13 13 4 31 20 12 26 1 16 18 27 28 23 4 26 31 24 20 28 19 21 23 17 27 22 24 30 26 23 20 35 28 33 25 5 24 33 31 28 30 30 25 25 24 29 29 40 30 31 31 40 32 34 26 41 35 36 27 41 36 34 34 8 32 38 43 20 37 35 29 45 32 37 39 44 42 37 41 42 43 38 32 40 40 39 36 48 1 43 40 46 36 43 41 46 45 42 19 0 43 43 44 49 45 44 42 47 44 46 44 49 47 48 45 49 46 47 49 49 47 48 44 49 49 48 49      67500      67500     135000      99000 
2277	5893800	20 6 45 0 3 22 15 1 9 13 5 5 11 8 6 37 18 6 10 8 3 10 7 3 19 3 16 28 17 22 33 21 11 14 12 37 22 21 9 24 4 17 22 18 27 12 23 4 14 29 24 25 30 19 26 23 8 27 22 24 30 26 23 20 32 23 33 31 10 25 33 31 30 24 34 29 39 35 2 29 40 26 34 25 7 31 17 34 9 27 32 27 41 36 39 28 8 40 36 29 20 39 35 35 43 4 37 38 43 34 37 41 9 32 38 32 40 40 41 40 45 35 43 40 15 36 43 38 46 44 42 35 48 39 43 47 48 45 42 42 11 44 47 46 49 16 46 45 49 47 48 49 49 47 48 46 49 49 48 48      63000     126000      72000      90000 
3366	5812550	20 6 7 0 39 22 15 1 12 13 5 2 3 8 6 15 38 10 10 6 11 40 7 9 19 31 16 10 24 14 33 21 11 14 12 37 28 32 9 24 19 18 16 18 27 28 37 5 14 5 21 25 30 19 20 23 31 27 22 24 30 26 28 20 35 23 2 31 24 25 33 13 6 30 34 25 39 24 2 29 1 26 34 25 37 32 17 34 13 27 36 27 41 36 36 28 36 40 35 29 20 37 35 35 13 17 37 38 43 34 37 41 9 32 38 32 46 40 41 4 45 35 18 40 15 44 43 46 49 44 42 35 48 39 43 47 8 45 42 42 17 44 44 46 49 48 48 45 49 47 47 49 49 47 48 46 49 49 48 49      68625      87750     103500      90000 
3465	5807050	20 6 11 0 39 22 15 1 12 13 5 2 3 8 6 15 38 10 10 6 11 40 7 9 19 31 16 10 24 14 33 21 11 14 12 37 28 32 9 24 19 18 16 18 27 28 37 5 14 5 21 25 30 19 20 23 31 27 22 24 30 26 28 20 35 23 2 31 24 25 33 13 6 30 34 25 39 24 2 29 1 26 34 25 37 32 17 34 13 27 36 27 41 36 36 28 36 40 35 29 20 37 35 35 13 17 37 38 43 34 37 41 9 32 38 32 46 40 41 4 45 35 18 40 15 44 43 46 49 44 42 35 48 39 43 47 8 45 42 42 17 44 44 46 49 48 48 45 49 47 47 49 49 47 48 46 49 49 48 49      68625      87750     103500      90000 
5445	5719900	20 6 44 0 39 14 15 1 13 2 5 22 3 8 1 36 11 20 14 9 3 38 11 7 48 31 16 14 24 12 33 4 36 15 12 38 28 21 9 26 19 10 16 18 27 24 27 5 35 4 21 25 14 19 21 23 31 27 22 24 30 26 17 20 32 23 30 25 24 33 33 31 30 30 34 33 39 30 31 29 1 30 34 25 37 32 34 26 41 35 36 27 40 36 36 28 36 40 15 29 20 37 28 29 13 17 37 38 42 34 37 41 8 34 38 32 46 34 41 4 45 35 18 40 15 44 43 38 5 44 42 43 48 39 43 47 8 45 43 42 47 44 46 46 49 48 47 45 49 47 47 49 49 47 48 46 49 49 48 49      63350     123300      71650      90000 
6336	5439800	7 6 0 41 11 9 44 1 12 2 5 22 3 8 1 15 46 20 10 6 14 10 4 7 33 16 16 12 28 14 33 1 36 15 12 37 17 21 27 18 42 25 42 18 0 28 5 5 14 30 24 21 30 19 21 23 31 27 22 24 30 26 28 20 29 23 33 25 10 33 33 13 30 30 34 25 39 35 31 29 11 26 34 30 40 31 34 26 41 27 36 27 11 36 36 28 36 40 15 29 20 37 35 35 13 17 37 38 38 34 37 41 42 32 39 32 46 40 41 38 45 1 18 40 15 44 43 38 46 44 42 38 22 39 43 44 8 45 43 42 47 44 46 46 22 48 48 45 49 47 47 49 49 47 48 46 49 49 48 49      54000     135000      80000      73000 
7227	5073800	20 6 13 41 11 22 8 0 12 16 48 43 12 8 6 15 11 0 2 6 14 38 7 7 14 31 3 12 41 34 6 4 5 0 8 9 17 21 9 18 1 10 33 18 49 28 5 5 14 0 24 25 18 19 21 23 31 27 22 24 30 26 2 20 32 23 33 25 10 33 33 13 30 30 34 25 39 35 31 29 11 26 34 25 37 31 34 26 13 9 36 27 40 36 36 28 36 40 35 29 20 37 35 35 19 17 37 38 43 34 37 41 42 32 39 32 46 2 41 38 45 1 37 40 15 44 43 38 46 44 42 38 48 39 43 42 13 45 43 42 47 44 44 46 7 48 48 45 49 47 47 49 49 47 48 46 49 49 48 49      45000     135000      54000      99000 
7524	4802800	22 6 13 12 11 0 44 39 12 24 48 8 11 8 6 15 6 10 10 6 14 29 7 9 14 41 3 22 16 31 33 21 5 15 12 9 32 21 18 46 1 27 14 18 49 28 5 26 16 0 18 25 14 19 20 23 31 9 22 24 30 7 17 20 29 23 33 25 10 33 33 31 30 30 34 25 39 35 31 29 11 26 34 31 7 4 17 26 13 35 2 27 14 36 36 28 36 40 35 29 20 37 35 35 19 17 37 7 13 34 37 41 9 32 38 32 46 40 41 38 45 1 37 40 15 36 43 38 5 44 42 35 48 39 43 42 8 45 43 42 47 44 46 46 7 48 48 45 49 47 47 49 49 47 48 46 49 49 48 49      67500      97500      75000      82500 
7623	4715800	22 6 13 41 10 22 44 44 5 9 7 2 11 8 6 15 11 22 4 16 40 38 7 2 14 31 3 45 41 12 47 4 36 15 12 27 28 21 35 24 19 44 42 18 49 41 16 6 14 17 21 25 18 19 20 23 31 27 22 24 3 26 28 18 29 23 33 25 10 33 33 31 30 30 34 25 39 24 31 29 1 26 34 31 40 32 17 26 13 10 36 27 14 36 36 28 36 40 35 29 20 37 35 35 19 4 37 38 13 34 37 41 42 32 39 32 46 2 41 38 45 1 18 40 15 0 43 38 46 44 42 38 48 39 43 47 13 45 43 42 17 44 44 46 2 48 48 45 49 47 47 49 49 47 48 46 49 49 48 49      81000     108000      75000      60000 
8118	4713800	41 7 13 0 11 22 8 0 12 18 48 10 3 8 15 15 11 32 0 8 6 10 6 9 14 31 14 4 41 12 15 21 13 15 12 9 32 21 6 18 48 27 14 46 38 28 23 26 14 30 5 21 30 19 21 23 31 27 22 24 30 26 28 20 32 23 33 25 24 33 33 31 30 16 34 25 39 11 2 29 11 26 34 30 37 31 17 26 13 9 36 27 14 36 36 28 36 40 35 29 20 37 35 35 19 17 37 38 43 34 37 41 42 34 39 32 7 40 41 38 45 1 37 40 15 16 43 38 46 44 42 35 22 39 43 44 8 45 43 42 47 44 46 46 49 48 47 45 49 47 47 49 49 47 48 46 49 49 48 49      61000      83000      81000      99000 
9009	4554800	41 6 13 22 19 22 19 0 12 36 30 2 3 8 0 22 11 7 33 21 21 1 10 47 14 31 16 26 41 12 33 48 1 15 12 44 32 21 6 46 43 10 14 18 27 28 11 5 14 30 5 3 18 19 20 23 31 27 22 24 30 26 28 20 32 23 33 25 24 33 33 31 30 16 34 25 39 24 31 29 11 26 34 30 40 31 17 26 13 9 4 27 14 36 36 28 36 40 35 29 20 37 35 35 19 17 37 38 13 34 37 41 5 32 39 32 7 40 41 38 45 35 18 40 15 44 43 38 5 44 42 35 22 39 43 42 8 45 43 42 47 44 44 46 7 48 47 45 49 47 47 49 49 47 48 46 49 49 48 49      38500     110000      76500      94500 
9702	4362300	41 6 5 22 11 22 8 0 12 13 48 10 26 15 6 16 11 7 10 16 21 3 11 9 30 31 16 38 41 19 33 1 35 15 12 44 32 21 15 36 1 10 14 18 27 47 28 43 14 11 24 3 30 0 21 23 31 27 22 24 30 2 28 20 32 23 33 25 24 33 33 31 30 30 34 25 39 11 31 29 11 26 34 30 40 31 17 26 13 9 36 27 14 36 36 28 36 40 35 29 20 37 35 29 19 17 37 7 13 34 37 41 42 32 39 32 46 40 41 4 45 35 18 40 15 44 43 38 5 44 42 38 48 39 43 42 8 45 43 42 17 44 44 46 49 48 47 45 49 47 47 49 49 47 48 46 49 49 48 49      69750      85500      69750      87750 
11187	4357800	41 6 0 12 19 22 8 1 12 24 2 25 41 45 0 15 11 7 10 7 22 34 10 15 4 31 16 14 41 12 8 21 30 5 9 44 21 21 13 46 19 48 14 19 27 43 16 20 14 30 24 3 18 0 21 23 2 27 22 24 30 26 28 20 4 23 33 25 24 33 33 31 30 30 34 25 39 11 31 29 11 26 34 30 40 32 3 26 13 9 36 27 14 36 36 28 36 40 35 29 20 37 35 29 19 17 37 7 13 34 37 41 42 32 39 32 7 40 41 38 45 35 18 40 15 16 43 38 5 44 42 38 48 39 43 42 13 45 43 42 17 44 44 46 49 48 47 45 49 47 47 49 49 47 48 46 49 49 48 49      42500      92500      95000      85000 
