
0	 865000	0 1 0 5 2 1 6 2 1 6 2 7 7 3 7 8 3 23 9 3 10 9 4 14 10 4 14 10 4 14 11 5 15 12 6 15 12 8 16 12 11 16 13 11 17 13 9 17 14 17 18 14 18 17 15 20 17 16 21 18 19 22 19 20 23 19 20 23 19 21 24 20 23 25 21 24 25 21 24 25 22 24 26 22 24 26 23 25 26 24 25 26 24 25 26 26 25 27 26 28 27 27 13 27 27 29 27 28 29 27 28 29 28 28 29 28 28 29 28 28 29 28 28 29 29 29      30000      35000      27500 
99	 852336	1 0 8 1 0 22 10 2 11 3 2 12 4 2 12 4 2 13 6 23 13 7 3 14 7 3 14 8 6 14 5 6 15 10 9 16 20 11 16 25 11 17 13 12 17 13 14 19 15 16 20 15 16 21 17 17 21 18 19 21 18 19 22 20 21 22 23 21 23 24 21 23 5 22 24 24 23 19 24 24 25 26 24 25 27 24 25 27 24 25 28 25 25 28 25 25 28 26 26 28 26 26 29 26 26 29 27 26 29 27 27 29 27 28 29 27 28 29 28 28 9 29 29 9 29 29      40500      27000      22583 
585	 540532	9 0 22 10 1 24 11 2 20 12 3 24 13 4 25 13 5 25 14 6 25 29 7 25 15 8 25 15 9 26 16 10 26 16 11 26 17 12 27 17 13 27 18 14 27 18 15 27 19 16 27 19 17 28 20 18 28 20 19 28 21 20 28 21 21 28 22 22 28 22 23 29 23 23 29 23 24 29 24 24 29 14 24 29 24 25 29 25 25 29 25 25 29 25 26 29 26 26 29 26 26 29 26 27 29 27 27 29 27 27 29 27 28 29 28 28 29 28 29 29 29 28 29 29 29 29      10000      70000       5789 
783	 151258	9 0 24 10 1 24 11 2 2 12 3 25 28 4 15 13 5 25 14 6 25 29 7 26 15 8 26 15 9 19 16 10 27 16 11 27 17 12 27 17 13 28 18 14 27 18 15 28 19 16 28 19 17 28 20 18 28 20 19 28 21 20 28 21 21 29 22 22 29 22 23 29 23 23 29 23 24 29 24 24 29 14 24 29 24 25 29 25 25 29 25 25 29 25 26 29 13 26 29 26 26 29 26 27 29 27 27 29 27 27 29 27 28 29 28 28 29 28 29 29 29 28 29 29 29 29      12828      64344       5371 
981	 115658	0 9 22 1 10 5 2 11 25 3 12 25 4 13 15 5 13 25 6 14 25 7 14 26 8 15 26 9 15 19 10 16 27 11 16 27 12 17 27 13 17 27 14 18 27 15 18 28 16 19 28 17 19 28 18 20 28 19 20 28 20 21 28 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 29 29 25 25 29 26 29 29 26 29 29 26 26 29 27 26 29 27 20 29 27 27 29 28 21 29 28 29 29 28 28 29 28 29 29 29 29 29      63479      13260       6522 
1377	 110914	0 9 6 1 10 24 2 11 2 3 12 25 4 28 13 5 13 29 6 14 25 7 3 26 8 15 26 9 15 19 10 16 27 11 16 27 12 17 27 13 17 28 14 18 27 15 18 28 16 19 28 17 19 28 18 20 28 19 20 28 20 21 28 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 14 29 25 24 29 25 25 29 25 25 29 26 28 29 26 13 29 26 26 29 27 26 29 27 20 29 27 27 29 28 27 29 28 28 29 29 28 29 28 29 29 29 29 29      64000      13000       5727 
1476	  81144	8 0 9 27 1 10 24 2 11 12 3 12 21 4 13 22 5 13 25 6 14 25 7 29 25 8 14 10 9 15 25 10 16 21 11 16 26 12 17 26 13 17 27 14 18 27 15 18 27 16 19 27 17 19 27 18 20 27 19 20 28 20 21 29 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 29 29 24 24 29 25 24 29 25 27 29 25 25 29 26 29 29 26 26 29 26 20 29 29 26 29 27 27 29 27 27 29 28 27 29 28 27 29 28 28 29 28 15 29 29 29       4762      66000      12000 
0	1153250	0 0 1 1 2 2 3 3 2 6 4 2 7 6 2 12 7 3 13 8 4 13 9 4 14 9 5 15 9 5 15 9 5 16 9 7 19 10 8 19 10 8 20 10 8 21 11 10 21 14 11 23 16 11 23 17 12 24 17 14 24 17 16 24 17 20 24 18 20 25 18 21 25 18 22 25 18 22 26 18 23 26 20 24 26 22 24 26 23 24 27 23 25 27 25 25 27 25 25 27 27 25 28 27 25 28 28 25 28 28 26 29 28 27 29 28 28 29 28 28 29 29 29 29 29 29      45000      20250      34875 
99	 852000	0 2 0 4 2 1 26 2 6 7 11 9 7 3 11 7 3 9 8 3 15 8 4 16 9 5 16 10 7 17 5 7 18 12 8 21 12 10 18 13 10 20 14 10 20 1 11 22 19 12 23 19 13 15 6 13 24 21 13 24 22 13 24 22 14 24 23 14 25 23 15 6 23 16 26 24 17 5 24 17 27 29 18 27 25 19 27 25 23 28 20 24 28 26 25 21 26 25 29 26 25 29 26 25 29 27 25 29 27 26 29 28 27 29 28 27 29 28 28 29 28 28 29 28 28 29      36000      27000      27000 
486	 542736	16 24 0 10 24 1 11 13 2 12 25 3 13 25 4 18 25 5 14 25 6 14 26 7 15 26 8 15 26 9 16 26 10 22 26 11 17 27 12 17 27 13 19 28 14 18 28 15 19 28 16 19 9 17 20 28 18 20 28 19 21 29 20 21 29 21 22 29 22 22 29 23 23 29 23 23 29 24 24 29 24 24 29 24 24 29 25 25 29 25 25 29 25 25 29 26 26 29 26 26 29 26 26 29 27 27 29 27 27 29 27 27 29 28 28 29 29 28 29 28 29 29 28 29 29 29      10000       5454      70000 
