
0	 865000	0 1 0 5 2 1 6 2 1 6 2 7 7 3 7 8 3 23 9 3 10 9 4 14 10 4 14 10 4 14 11 5 15 12 6 15 12 8 16 12 11 16 13 11 17 13 9 17 14 17 18 14 18 17 15 20 17 16 21 18 19 22 19 20 23 19 20 23 19 21 24 20 23 25 21 24 25 21 24 25 22 24 26 22 24 26 23 25 26 24 25 26 24 25 26 26 25 27 26 28 27 27 13 27 27 29 27 28 29 27 28 29 28 28 29 28 28 29 28 28 29 28 28 29 29 29      30000      35000      27500 
387	 546780	24 9 0 24 10 1 19 11 2 24 12 3 24 13 4 24 13 5 27 14 6 25 14 7 25 15 8 25 15 9 25 16 10 25 16 11 26 17 12 26 17 13 26 18 14 26 18 15 26 19 16 27 19 17 27 20 18 27 20 19 27 21 20 27 21 21 28 22 22 28 22 23 29 23 23 29 23 24 29 24 24 29 24 24 29 24 25 29 25 25 29 25 25 29 25 26 29 29 26 29 26 26 29 26 29 29 27 27 29 27 27 29 27 28 29 27 28 29 28 28 29 29 28 29 29 29       6290      13226      63549 
486	 145120	4 0 9 22 1 10 6 2 11 24 3 12 6 4 13 21 5 13 25 6 14 25 7 14 15 8 15 25 9 15 26 10 16 2 11 16 7 12 17 9 13 17 11 14 18 27 15 18 27 16 19 27 17 19 27 18 20 27 19 20 28 20 21 28 21 21 28 22 22 28 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 29 29 26 26 29 29 26 29 27 27 29 27 27 29 28 27 29 28 27 29 28 28 29 28 29 29 29 29       6306      63000      13500 
981	 126226	0 3 9 1 24 8 2 24 11 3 24 12 4 5 20 5 6 13 6 1 14 7 26 14 8 2 21 9 26 15 10 26 10 11 26 16 12 26 17 13 12 17 14 4 18 15 7 18 16 27 19 17 28 19 18 28 20 19 28 20 20 28 21 21 28 21 22 29 22 23 29 22 23 29 23 24 29 23 24 29 16 24 29 24 25 29 24 25 29 25 25 29 25 26 29 25 26 29 15 26 29 26 27 29 28 27 29 27 27 29 27 29 29 27 28 29 28 28 29 28 28 13 29 29 29 29      59111       6889      15445 
1179	  79460	0 9 4 1 10 22 2 27 3 3 12 29 4 13 6 5 13 21 6 14 25 7 14 25 8 15 15 9 15 25 10 16 26 11 16 2 12 17 7 13 17 9 14 18 11 15 18 27 16 19 27 17 19 27 18 20 27 19 20 27 20 21 28 21 21 27 22 22 28 23 22 11 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 20 29 26 25 29 26 29 29 26 26 29 29 26 29 27 27 29 27 27 29 28 27 29 28 27 29 28 28 29 28 29 29 29 29 29      64054      12973       5946 
1377	  67568	4 0 9 22 1 10 8 2 27 29 3 12 6 4 13 5 5 13 3 6 14 25 7 14 15 8 15 25 9 15 26 10 16 2 11 16 7 12 17 9 13 17 11 14 18 27 15 18 27 16 19 27 17 19 27 18 20 27 19 20 28 20 21 27 21 21 28 22 22 11 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 20 29 26 25 29 26 29 29 26 26 29 29 26 29 27 27 29 27 27 29 28 27 29 28 27 29 28 28 29 28 29 29 29 29       5946      64054      12973 
1971	  44212	4 0 9 22 1 10 8 2 27 29 3 12 6 4 13 5 5 13 3 6 14 25 7 14 29 8 15 25 9 15 26 10 16 2 11 16 7 12 17 19 13 17 11 14 18 27 15 18 26 16 19 27 17 19 27 18 20 27 19 20 28 20 21 27 21 21 28 22 22 11 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 20 29 26 25 29 26 29 29 26 26 29 29 26 29 27 27 29 27 27 29 28 27 29 28 27 29 28 28 29 28 21 29 29 29       6316      63684      13158 
0	1153250	0 0 1 1 2 2 3 3 2 6 4 2 7 6 2 12 7 3 13 8 4 13 9 4 14 9 5 15 9 5 15 9 5 16 9 7 19 10 8 19 10 8 20 10 8 21 11 10 21 14 11 23 16 11 23 17 12 24 17 14 24 17 16 24 17 20 24 18 20 25 18 21 25 18 22 25 18 22 26 18 23 26 20 24 26 22 24 26 23 24 27 23 25 27 25 25 27 25 25 27 27 25 28 27 25 28 28 25 28 28 26 29 28 27 29 28 28 29 28 28 29 29 29 29 29 29      45000      20250      34875 
297	 999000	0 0 0 16 1 1 4 2 22 6 3 5 10 28 6 11 5 2 13 6 15 14 7 7 15 8 8 8 9 9 16 9 9 16 12 11 17 14 12 18 15 14 19 16 23 19 20 13 23 18 17 20 20 18 20 22 24 21 21 18 22 21 19 22 23 3 24 24 21 22 24 23 24 25 24 24 25 25 24 26 25 25 26 26 25 27 10 25 27 26 26 28 26 26 28 27 27 28 27 27 28 28 27 29 29 28 29 29 28 12 29 28 29 29 28 29 29 28 29 29 29 29 29 29 29 4      31500      13500      49500 
495	 835884	0 0 22 1 0 16 17 1 4 5 6 11 6 2 28 2 3 27 15 4 13 7 4 14 8 5 15 9 7 8 9 8 16 11 8 16 12 11 28 14 12 18 23 12 19 13 13 20 17 14 23 18 15 20 24 16 20 18 17 21 19 18 22 3 18 22 21 19 24 23 19 22 24 19 24 25 20 24 25 21 24 26 21 25 10 24 25 26 24 25 26 25 26 27 25 26 27 26 27 28 27 27 29 28 27 10 28 28 29 28 28 29 28 28 29 29 28 29 29 28 29 29 29 4 29 29      53942       9058      27118 
594	 744000	0 0 1 2 1 2 3 3 2 4 8 2 6 7 2 7 12 3 7 13 4 17 13 4 9 14 5 9 15 25 9 15 5 9 16 22 10 19 8 10 19 26 10 20 8 11 21 10 14 21 11 16 23 11 17 23 12 17 6 14 17 24 16 17 24 20 18 24 20 18 5 21 18 25 22 18 25 22 18 26 23 20 26 24 22 26 24 23 26 24 23 27 25 25 27 25 25 27 25 27 27 25 27 28 25 28 28 25 28 28 26 28 29 27 28 29 28 28 29 28 29 29 29 29 29 29      18000      45000      27000 
891	 703336	3 12 0 5 16 1 4 4 17 17 11 5 28 28 6 27 27 2 7 13 15 14 14 7 15 20 8 11 8 9 16 16 9 16 16 11 28 28 12 25 18 14 19 19 23 20 20 13 23 23 17 20 20 18 20 20 24 21 21 18 22 22 19 22 22 3 1 24 21 22 22 23 24 24 24 24 24 25 24 24 25 25 25 26 25 25 10 25 25 26 26 26 26 26 26 27 27 27 27 2 27 28 27 27 29 28 28 10 28 28 15 28 28 29 28 28 29 28 28 29 6 29 13 29 29 4      13333      20000      56667 
1089	 645112	28 6 0 16 0 1 4 3 22 6 28 5 25 5 6 11 7 2 13 8 15 14 10 7 15 17 8 8 29 20 16 12 9 16 13 11 17 14 12 18 14 14 1 16 23 19 17 13 23 18 17 20 19 18 20 20 24 21 21 18 2 21 19 22 21 3 9 15 21 22 22 23 24 19 24 24 23 25 24 1 25 25 24 26 25 24 10 25 25 26 26 25 26 26 25 27 27 25 27 12 26 28 27 10 27 28 26 28 28 27 24 28 27 29 28 27 29 28 27 29 29 28 29 29 28 4      24111       8667      54666 
1188	 604000	0 1 28 1 6 16 22 6 4 5 7 16 6 5 25 2 26 11 15 9 13 7 10 14 8 22 15 20 10 8 9 15 16 11 12 16 12 14 17 14 16 13 23 17 1 13 18 19 17 19 23 18 20 20 24 21 20 18 23 21 19 23 2 3 23 22 21 19 9 23 24 22 24 24 24 25 24 24 25 24 24 26 25 25 10 25 25 26 21 25 26 26 26 27 26 26 27 26 27 28 3 12 27 27 27 28 27 28 24 27 28 29 28 28 29 28 28 29 28 28 29 28 29 4 29 29      54000       9200      20200 
1386	 176000	6 0 0 9 16 1 3 4 22 12 7 5 10 10 6 11 27 12 13 13 15 14 14 7 5 15 8 15 8 20 29 16 9 16 16 11 17 17 2 18 18 14 19 19 23 19 19 13 23 23 17 20 20 18 20 20 24 21 21 25 2 1 19 22 22 3 24 24 21 28 22 23 24 24 24 24 24 25 24 24 25 25 25 26 28 25 10 25 25 26 26 26 26 26 26 27 27 22 27 27 27 28 27 27 27 28 28 28 28 28 16 28 28 29 28 28 29 28 28 29 29 29 29 21 29 4      18000       8000      57000 
1971	 151000	0 9 24 1 10 24 2 11 24 3 12 24 4 13 24 5 13 25 6 7 25 7 14 25 8 15 26 9 15 22 10 16 26 11 16 26 12 17 26 13 17 27 14 18 27 15 18 14 16 19 27 17 19 27 18 20 28 19 20 28 20 21 28 21 21 28 22 22 29 23 22 29 23 23 29 24 23 29 24 29 29 24 24 29 25 24 29 25 25 29 25 25 29 26 29 29 26 20 29 26 29 29 27 26 29 27 21 29 27 27 29 28 27 29 28 28 29 28 29 29 28 29 29 29 29 29      63000      13500       6800 
2268	 121000	0 0 10 1 1 16 2 22 19 3 5 14 4 6 25 5 2 11 6 15 13 7 7 14 8 8 15 9 20 29 10 9 19 11 11 16 12 12 17 13 14 18 14 23 28 15 13 19 16 17 23 17 24 20 18 24 20 19 18 21 20 16 29 21 3 22 22 21 9 23 23 22 23 24 24 24 25 21 24 25 24 24 26 25 25 10 25 25 26 25 25 26 26 26 27 26 26 27 27 26 28 12 27 27 27 27 28 28 27 29 28 28 29 28 28 29 28 29 29 28 28 29 19 29 4 28      27667      38333      16500 
