
0	1618000	1 0 3 1 4 4 2 5 5 2 5 6 3 7 6 3 8 6 4 9 7 6 10 8 8 10 9 14 10 12 14 11 13 16 11 13 17 12 15 17 12 16 17 13 19 19 13 19 20 14 19 20 15 21 20 16 21 22 16 22 22 18 23 22 18 23 23 18 23 24 19 24 24 21 25 24 23 25 24 24 26 24 25 26 25 25 26 25 25 26 26 26 26 27 26 27 27 26 27 27 27 27 28 27 27 28 28 28 29 28 28 29 29 28 29 29 28 29 29 28 29 29 28 29 29 28      31500      60000      21000 
198	1493000	21 0 3 0 1 4 2 2 4 3 5 6 5 6 6 6 6 7 7 4 8 7 8 8 12 9 10 1 9 10 14 10 11 15 11 11 15 11 12 16 13 13 16 14 13 16 16 14 17 17 16 17 18 17 18 19 17 19 20 17 20 20 18 22 20 19 22 22 20 24 23 21 24 24 21 24 24 23 25 24 23 25 24 23 26 25 23 26 25 24 26 26 24 26 27 24 26 27 25 26 28 25 26 28 26 27 28 26 27 29 27 27 29 27 28 29 27 28 29 28 28 29 28 29 29 28      43500      36000      28500 
297	1415000	11 9 0 1 10 1 22 10 28 3 11 10 3 2 2 4 12 3 5 12 3 5 13 4 26 13 4 23 13 5 6 14 6 7 14 8 7 15 14 7 16 17 7 17 20 8 17 21 8 17 21 9 18 23 12 18 23 12 19 23 15 19 23 15 2 24 16 24 25 19 24 25 20 24 25 20 24 26 20 24 26 20 25 27 21 25 27 22 25 27 22 25 28 24 25 28 24 26 28 24 26 28 25 26 28 25 27 28 0 27 28 27 27 28 28 29 29 28 29 29 29 29 29 29 29 29      40500      40500      24750 
396	1264000	16 23 0 22 2 1 25 3 2 4 3 5 5 9 6 6 10 6 1 10 4 7 11 8 8 11 9 9 13 9 10 14 10 12 14 11 12 14 11 13 16 13 15 17 14 15 18 16 17 19 17 18 20 18 19 20 19 19 21 20 19 21 20 20 0 20 7 23 22 21 23 23 22 23 24 24 23 24 24 24 24 26 25 24 26 25 25 26 25 25 26 25 26 27 26 27 27 26 27 27 26 28 27 26 28 27 26 28 27 26 29 28 26 29 28 28 29 28 28 29 29 28 29 29 28 29      40500      31500      31500 
693	1176000	27 1 23 1 1 2 25 2 3 4 2 3 5 3 9 25 3 10 15 4 10 6 6 11 7 28 11 7 5 13 8 14 14 9 8 14 11 17 14 12 17 16 12 17 17 13 19 18 15 12 19 16 20 20 18 20 20 19 22 21 21 22 21 22 22 0 22 23 23 23 24 23 24 24 23 24 24 23 26 24 24 3 24 25 27 25 25 27 25 25 27 7 25 28 27 26 28 27 26 29 27 26 29 28 26 29 28 26 29 0 26 29 29 26 29 29 28 29 29 28 29 29 28 29 29 28      45000      18000      36000 
990	1158000	27 18 23 1 1 2 25 2 3 4 2 3 5 3 9 25 3 10 15 4 10 6 6 11 7 28 11 7 5 13 8 14 14 9 8 14 11 17 14 12 17 16 12 17 17 13 19 18 15 12 19 16 20 20 18 20 20 19 22 21 21 22 21 22 22 0 22 23 23 23 24 23 24 24 23 24 24 23 26 24 24 3 24 25 27 25 25 27 25 25 27 7 25 28 27 26 28 27 26 29 27 26 29 28 26 29 28 26 29 0 26 29 29 26 29 29 28 29 29 28 29 29 28 29 29 28      45000      18000      36000 
1188	1140000	24 27 1 2 1 1 3 13 2 3 4 2 9 5 3 10 25 3 10 15 4 11 6 6 11 7 28 20 7 5 14 8 14 14 9 8 14 11 17 16 12 17 17 12 17 18 13 19 19 15 12 20 16 20 20 18 20 21 19 22 21 21 22 0 22 22 23 22 23 23 23 24 23 24 24 23 24 24 24 26 24 25 3 24 25 27 25 25 27 25 25 27 7 26 28 27 26 28 27 26 29 27 26 29 28 26 29 28 26 29 0 26 29 29 28 29 29 28 29 29 28 29 29 28 29 29      36000      45000      18000 
1386	1128580	0 4 15 1 2 1 23 21 2 4 3 2 5 2 3 5 10 3 15 10 4 6 9 6 7 11 28 7 13 5 8 14 14 9 14 8 10 14 17 12 16 17 12 12 17 13 18 19 15 19 12 16 20 20 18 20 20 19 21 22 21 21 22 17 15 22 22 23 23 22 25 24 24 23 24 24 23 24 26 24 24 27 25 24 27 25 25 27 25 25 27 25 7 28 26 27 28 26 27 11 26 27 29 26 28 29 26 28 29 26 0 29 26 29 29 28 29 29 28 29 29 28 29 29 28 29      46285      34715      16715 
1485	1078000	28 8 1 24 1 1 10 2 4 16 4 2 9 25 3 10 5 3 27 15 4 8 6 6 11 7 28 7 7 5 0 0 14 14 9 8 14 11 17 16 12 17 17 12 17 18 13 19 19 15 12 20 16 20 20 18 20 21 19 22 21 21 22 3 22 22 6 22 23 23 23 10 23 24 24 23 24 24 24 26 24 25 27 24 25 27 25 25 27 25 25 13 7 26 3 27 26 28 27 26 29 27 26 29 28 26 29 28 26 29 0 26 29 29 28 29 29 28 29 29 28 29 29 28 29 29      36000      45000      18000 
1584	1074668	18 1 13 28 1 16 2 4 10 4 2 15 25 3 9 5 3 10 15 4 10 6 6 8 19 28 11 7 5 7 8 14 0 9 8 14 11 17 14 12 17 16 12 17 17 13 19 18 15 12 19 16 20 20 18 20 20 19 22 21 21 22 21 27 22 3 22 23 6 23 10 23 24 24 23 24 24 23 24 24 24 27 24 25 27 25 25 27 25 25 13 7 25 3 27 26 28 27 26 29 27 26 29 28 26 29 28 26 29 0 26 29 29 26 29 29 28 29 29 28 29 29 28 29 29 28      37334      27000      34666 
