
0	 865000	0 1 0 5 2 1 6 2 1 6 2 7 7 3 7 8 3 23 9 3 10 9 4 14 10 4 14 10 4 14 11 5 15 12 6 15 12 8 16 12 11 16 13 11 17 13 9 17 14 17 18 14 18 17 15 20 17 16 21 18 19 22 19 20 23 19 20 23 19 21 24 20 23 25 21 24 25 21 24 25 22 24 26 22 24 26 23 25 26 24 25 26 24 25 26 26 25 27 26 28 27 27 13 27 27 29 27 28 29 27 28 29 28 28 29 28 28 29 28 28 29 28 28 29 29 29      30000      35000      27500 
387	 213740	0 9 24 1 10 24 2 11 24 3 12 25 4 13 24 5 13 25 6 14 25 7 14 26 8 15 26 9 15 26 10 16 26 11 16 26 12 17 26 13 17 27 14 18 27 15 18 27 16 19 27 17 19 27 18 20 28 19 20 28 20 21 28 21 21 28 22 22 28 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 29 29 25 29 29 25 25 29 26 25 29 26 29 29 26 26 29 27 26 29 27 29 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       5685 
684	 169000	0 9 24 1 10 24 2 11 11 3 12 25 4 13 24 5 13 24 6 21 25 7 14 26 8 15 19 9 15 26 10 16 26 11 16 14 12 17 20 13 17 27 14 18 27 15 18 27 16 19 27 17 19 27 18 20 28 19 20 28 20 21 28 21 21 28 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 29 29 25 29 29 25 25 29 26 25 29 26 29 29 26 26 29 27 26 29 27 27 29 27 22 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       7250 
981	 155670	0 9 24 1 10 28 2 23 24 3 12 25 4 13 19 5 13 25 6 14 7 7 14 26 8 15 13 9 15 25 10 16 26 11 16 26 12 17 26 13 17 26 14 18 27 15 18 11 16 19 27 17 19 26 18 20 26 19 20 28 20 21 11 21 21 28 22 22 28 23 22 28 23 29 29 24 23 29 24 24 29 24 24 29 25 29 29 25 25 29 25 29 29 26 25 29 26 29 29 26 26 29 27 29 29 27 27 29 27 27 29 28 27 29 28 28 29 28 29 29 28 29 29 29 29 29      63000      13501       6055 
1080	 121396	0 9 24 1 10 24 2 11 11 3 12 7 4 13 25 5 13 16 6 14 25 7 14 26 8 15 26 9 15 2 10 16 26 11 16 27 12 17 26 13 17 27 14 18 27 15 18 27 16 19 27 17 19 27 18 20 28 19 20 28 20 21 28 21 21 28 22 22 28 23 22 29 23 23 29 24 23 29 24 25 29 24 24 29 25 24 29 25 29 29 25 25 29 26 29 29 26 29 29 26 26 29 27 26 29 27 20 29 27 29 29 28 27 29 28 29 29 28 19 29 28 29 29 29 29 29      63476      13262       6510 
1179	 109308	0 9 24 1 10 19 2 11 24 3 12 24 4 13 9 5 13 24 6 14 7 7 14 25 8 15 26 9 15 26 10 16 26 11 16 26 12 17 26 13 17 25 14 18 10 15 18 4 16 19 27 17 19 28 18 20 22 19 20 28 20 21 28 21 21 28 22 22 28 23 22 29 23 23 29 24 23 29 24 24 29 24 29 29 25 29 29 25 20 29 25 25 29 26 25 29 26 29 29 26 29 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 29 29 28 29 29 29 29 29      63484      13258       6511 
1674	 101782	0 9 4 1 10 19 2 11 8 3 12 21 4 13 24 5 13 25 6 14 24 7 14 26 8 15 28 9 15 25 10 16 26 11 16 25 12 17 26 13 17 25 14 18 20 15 18 26 16 19 28 17 19 26 18 20 28 19 20 28 20 21 28 21 21 28 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 29 29 25 24 29 25 25 29 25 29 29 26 29 29 26 29 29 26 26 29 27 26 29 27 29 29 27 27 29 28 27 29 28 27 29 28 22 29 28 29 29 29 29 29      63778      13111       6222 
2070	  63728	0 9 24 1 10 19 2 11 8 3 12 20 4 13 9 5 13 24 6 14 29 7 14 10 8 7 15 9 15 25 10 16 25 11 16 27 12 17 26 13 17 4 14 18 27 15 18 27 16 19 28 17 19 15 18 20 26 19 20 28 20 21 27 21 21 28 22 22 28 23 22 5 23 23 29 24 23 29 24 24 29 24 29 29 25 24 29 25 25 29 25 21 29 26 25 29 26 26 29 26 26 29 27 29 29 27 27 29 27 22 29 28 29 29 28 29 29 28 29 29 28 29 29 29 29 29      63488      13256       6512 
0	1153250	0 0 1 1 2 2 3 3 2 6 4 2 7 6 2 12 7 3 13 8 4 13 9 4 14 9 5 15 9 5 15 9 5 16 9 7 19 10 8 19 10 8 20 10 8 21 11 10 21 14 11 23 16 11 23 17 12 24 17 14 24 17 16 24 17 20 24 18 20 25 18 21 25 18 22 25 18 22 26 18 23 26 20 24 26 22 24 26 23 24 27 23 25 27 25 25 27 25 25 27 27 25 28 27 25 28 28 25 28 28 26 29 28 27 29 28 28 29 28 28 29 29 29 29 29 29      45000      20250      34875 
387	 574662	0 9 24 1 10 24 2 11 24 3 12 25 4 13 11 5 13 25 6 14 26 7 14 25 8 15 26 9 15 11 10 16 26 11 16 26 12 17 27 13 17 27 14 18 27 15 18 27 16 19 27 17 19 27 18 20 27 19 20 28 20 21 28 21 21 28 22 22 29 23 22 29 23 23 29 24 23 29 24 21 29 24 24 29 25 29 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 20 29 27 27 29 27 19 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63398      13301       8835 
