
0	 865000	0 1 0 5 2 1 6 2 1 6 2 7 7 3 7 8 3 23 9 3 10 9 4 14 10 4 14 10 4 14 11 5 15 12 6 15 12 8 16 12 11 16 13 11 17 13 9 17 14 17 18 14 18 17 15 20 17 16 21 18 19 22 19 20 23 19 20 23 19 21 24 20 23 25 21 24 25 21 24 25 22 24 26 22 24 26 23 25 26 24 25 26 24 25 26 26 25 27 26 28 27 27 13 27 27 29 27 28 29 27 28 29 28 28 29 28 28 29 28 28 29 28 28 29 29 29      30000      35000      27500 
387	 225000	0 9 24 1 10 24 2 11 24 3 12 24 4 13 24 5 13 25 6 14 25 7 14 25 8 15 25 9 15 25 10 16 26 11 16 26 12 17 26 13 17 27 14 18 26 15 18 27 16 19 4 17 19 27 18 20 28 19 20 28 20 21 28 21 21 29 22 22 29 23 22 28 23 23 29 24 23 29 24 24 29 24 24 29 25 29 29 25 25 29 25 25 29 26 29 29 26 26 29 26 22 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       6750 
486	 191000	0 9 24 1 10 24 2 11 6 3 12 24 4 13 25 5 13 25 6 14 25 7 14 25 8 15 26 9 15 2 10 16 25 11 16 26 12 17 26 13 17 27 14 18 27 15 18 28 16 19 27 17 19 27 18 20 27 19 20 28 20 21 28 21 21 29 22 22 28 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 29 29 25 25 29 25 22 29 26 25 29 26 26 29 26 26 29 27 29 29 27 27 29 27 27 29 28 20 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       7000 
783	 182900	0 9 24 1 10 24 2 11 24 3 12 25 4 13 25 5 13 19 6 14 25 7 14 26 8 15 25 9 15 27 10 16 25 11 16 27 12 17 27 13 17 27 14 18 26 15 18 27 16 19 27 17 19 27 18 20 27 19 20 27 20 21 27 21 21 28 22 22 29 23 22 28 23 23 29 24 23 29 24 24 29 24 24 29 25 29 29 25 25 29 25 25 29 26 29 29 26 26 29 26 26 29 27 26 29 27 27 29 27 29 29 28 29 29 28 28 29 28 29 29 28 29 29 29 29 29      63000      13500       5050 
981	 150000	0 9 24 1 10 13 2 7 24 3 12 24 4 13 24 5 13 25 6 14 25 7 14 26 8 11 12 9 15 4 10 16 26 11 16 26 12 17 27 13 17 26 14 18 26 15 18 27 16 19 28 17 19 15 18 20 27 19 20 28 20 21 28 21 21 28 22 22 29 23 22 29 23 23 29 24 23 29 24 29 29 24 24 29 25 29 29 25 22 29 25 25 29 26 25 29 26 19 29 26 29 29 27 26 29 27 20 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       7250 
1080	 121240	0 9 24 1 10 24 2 11 19 3 12 25 4 13 24 5 13 26 6 14 8 7 14 25 8 15 26 9 15 19 10 16 25 11 16 26 12 17 26 13 17 27 14 18 27 15 18 27 16 19 27 17 19 28 18 20 28 19 20 28 20 21 27 21 21 29 22 25 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 29 29 25 25 29 25 22 29 26 21 29 26 22 29 26 26 29 27 29 29 27 29 29 27 27 29 28 29 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       6476 
1377	  96950	0 9 24 1 10 24 2 11 8 3 12 24 4 13 21 5 13 26 6 14 25 7 14 25 8 15 26 9 15 27 10 16 25 11 16 26 12 17 26 13 17 3 14 18 26 15 18 27 16 19 26 17 19 4 18 20 28 19 20 27 20 21 28 21 21 7 22 22 29 23 22 29 23 23 29 24 23 29 24 29 29 24 24 29 25 24 29 25 25 29 25 25 29 26 29 29 26 19 29 26 20 29 27 29 29 27 27 29 27 27 29 28 29 29 28 28 29 28 28 29 28 29 29 29 29 29      63050      13475       6805 
1674	  84692	0 9 24 1 10 24 2 11 24 3 12 24 4 13 3 5 13 26 6 14 26 7 14 23 8 15 7 9 15 25 10 16 25 11 16 26 12 17 26 13 17 27 14 18 27 15 18 27 16 19 27 17 19 27 18 20 21 19 20 28 20 21 29 21 21 28 22 22 29 23 22 29 23 19 29 24 23 29 24 29 29 24 24 29 25 29 29 25 20 29 25 25 29 26 25 29 26 26 29 26 26 29 27 29 29 27 29 29 27 29 29 28 27 29 28 22 29 28 28 29 28 29 29 29 29 29      64042      12979       5957 
2070	  76984	0 9 5 1 10 24 2 11 20 3 12 24 4 13 3 5 13 26 6 14 25 7 14 25 8 15 7 9 15 29 10 16 25 11 16 26 12 17 26 13 17 27 14 18 26 15 18 27 16 19 27 17 19 28 18 20 27 19 20 28 20 21 29 21 21 29 22 22 29 23 29 29 23 23 29 24 23 29 24 29 29 24 24 29 25 29 29 25 25 29 25 19 29 26 29 29 26 22 29 26 26 29 27 29 29 27 29 29 27 22 29 28 27 29 28 24 29 28 28 29 28 29 29 29 29 29      65828      12086       5108 
2169	  64638	0 9 24 1 10 24 2 11 8 3 12 24 4 13 25 5 13 26 6 14 4 7 14 29 8 15 25 9 15 25 10 16 26 11 16 27 12 17 27 13 17 27 14 18 26 15 18 27 16 19 25 17 19 23 18 20 28 19 20 28 20 21 29 21 21 24 22 22 29 23 22 29 23 19 29 24 23 29 24 29 29 24 24 29 25 29 29 25 25 29 25 21 29 26 29 29 26 22 29 26 29 29 27 26 29 27 29 29 27 27 29 28 29 29 28 28 29 28 20 29 28 29 29 29 29 29      65522      12238       5299 
