
0	1381432	0 1 0 5 2 1 6 2 1 6 2 8 7 3 8 8 3 9 8 3 11 9 4 13 10 4 14 10 4 15 10 5 15 11 6 15 12 7 16 12 11 17 13 11 17 13 12 18 14 17 18 14 18 19 15 18 19 16 21 20 16 22 21 19 23 21 20 24 22 20 25 22 21 26 22 23 26 22 23 26 23 24 26 24 24 26 24 24 27 24 25 27 24 25 27 25 25 27 26 25 27 27 25 27 27 28 28 27 29 28 28 29 28 28 29 28 28 29 28 28 29 29 29 29 29 29      31190      33238      40810 
387	 631728	0 9 24 1 10 24 2 11 24 3 12 25 4 13 25 5 13 25 6 14 25 7 14 26 8 15 26 9 15 26 10 16 26 11 16 26 12 17 26 13 17 25 14 18 27 15 18 26 16 19 28 17 19 28 18 20 26 19 20 28 20 21 29 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       8636 
486	 631054	0 9 19 1 10 7 2 11 24 3 12 24 4 13 11 5 13 25 6 14 8 7 14 26 8 15 26 9 15 25 10 16 25 11 16 25 12 17 26 13 17 26 14 18 26 15 18 27 16 19 27 17 19 27 18 20 27 19 20 26 20 21 28 21 21 28 22 22 28 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       8527 
585	 628000	0 9 19 1 10 22 2 26 24 3 12 24 4 13 11 5 13 4 6 14 8 7 14 26 8 15 26 9 15 25 10 16 26 11 16 27 12 17 27 13 17 26 14 18 26 15 18 27 16 19 28 17 19 27 18 20 28 19 20 28 20 21 29 21 21 28 22 22 28 23 22 29 23 23 29 24 23 28 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500      10000 
684	 590000	0 9 19 1 10 24 2 11 24 3 12 24 4 13 20 5 13 23 6 14 8 7 14 22 8 15 25 9 15 12 10 16 27 11 16 27 12 17 27 13 17 27 14 18 26 15 18 27 16 19 27 17 19 26 18 20 26 19 20 28 20 21 28 21 21 27 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       9500 
882	 584000	0 9 19 1 10 24 2 11 24 3 12 24 4 13 20 5 13 23 6 14 8 7 14 22 8 15 11 9 15 12 10 16 27 11 16 27 12 17 27 13 17 27 14 18 26 15 18 27 16 19 27 17 19 26 18 20 26 19 20 28 20 21 28 21 21 27 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       9500 
1080	 580718	0 9 19 1 10 22 2 11 24 3 12 25 4 13 20 5 13 25 6 14 8 7 14 26 8 15 25 9 15 25 10 16 29 11 16 25 12 17 27 13 17 25 14 18 26 15 18 27 16 19 27 17 19 27 18 20 27 19 20 28 20 21 29 21 21 28 22 22 28 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       9047 
1179	 578812	0 9 19 1 10 22 2 11 24 3 12 24 4 13 20 5 13 25 6 14 8 7 14 26 8 15 25 9 15 26 10 16 27 11 16 25 12 17 20 13 17 26 14 18 27 15 18 26 16 19 28 17 19 28 18 20 27 19 20 28 20 21 29 21 21 29 22 22 28 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       9047 
1278	 538396	0 9 19 1 10 3 2 11 29 3 12 29 4 13 20 5 13 24 6 14 10 7 14 25 8 15 12 9 15 26 10 16 25 11 16 25 12 17 26 13 17 26 14 18 26 15 18 28 16 19 22 17 19 26 18 20 26 19 20 28 20 21 27 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       8261 
1476	 198004	0 9 24 1 10 24 2 11 9 3 12 29 4 13 21 5 13 23 6 14 29 7 14 22 8 15 25 9 15 28 10 16 20 11 16 25 12 17 27 13 17 26 14 18 26 15 18 26 16 19 28 17 19 27 18 20 27 19 20 28 20 21 29 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       7833 
1872	 190892	0 9 19 1 10 24 2 11 9 3 12 21 4 13 24 5 13 23 6 14 29 7 14 22 8 15 4 9 15 26 10 16 20 11 16 25 12 17 27 13 17 26 14 18 26 15 18 26 16 19 22 17 19 27 18 20 27 19 20 28 20 21 29 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      11108       7669 
2268	 164002	0 9 19 1 10 20 2 11 4 3 12 18 4 13 21 5 13 24 6 14 21 7 14 22 8 15 25 9 15 28 10 16 27 11 16 19 12 17 20 13 17 27 14 18 26 15 18 26 16 19 22 17 19 27 18 20 26 19 20 28 20 21 29 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      65334       8333       9000 
2466	 148002	0 9 19 1 10 20 2 11 4 3 12 18 4 13 21 5 13 24 6 14 21 7 14 22 8 15 25 9 15 28 10 16 27 11 16 19 12 17 20 13 17 27 14 18 26 15 18 26 16 19 22 17 19 17 18 20 26 19 20 28 20 21 29 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      65334       8333       9000 
2565	 134088	0 9 7 1 10 16 2 11 4 3 12 29 4 13 2 5 13 24 6 14 21 7 14 29 8 15 12 9 15 29 10 16 26 11 16 25 12 17 20 13 17 29 14 18 26 15 18 26 16 19 22 17 19 28 18 20 28 19 20 28 20 21 29 21 21 29 22 22 29 23 22 29 23 23 29 24 23 29 24 24 29 24 24 29 25 24 29 25 25 29 25 25 29 26 25 29 26 26 29 26 26 29 27 26 29 27 27 29 27 27 29 28 27 29 28 28 29 28 28 29 28 29 29 29 29 29      63000      13500       7308 
